Track A: 14 events, 105120 samples
  fold 1/14 (p257, incipient) h=22885.45 26.0s
  fold 2/14 (p461, incipient) h=410.62 29.5s
  fold 3/14 (p232, incipient) h=359.49 29.9s
  fold 4/14 (p427, incipient) h=14298.37 19.9s
  fold 5/14 (p673, abrupt) h=361.31 25.4s
  fold 6/14 (p810, incipient) h=310.74 32.4s
  fold 7/14 (p628, incipient) h=395.31 32.4s
  fold 8/14 (p538, abrupt) h=387.57 25.9s
  fold 9/14 (p866, abrupt) h=377.89 24.5s
  fold 10/14 (p31, incipient) h=365.93 25.2s
  fold 11/14 (p654, incipient) h=333.19 25.8s
  fold 12/14 (p183, abrupt) h=352.79 26.0s
  fold 13/14 (p158, abrupt) h=364.44 26.1s
  fold 14/14 (p369, abrupt) h=367.83 25.7s
wrote /home/user/Tests/results/track_a_event_heldout_2018.json
