track,budget,method,event,leak_type,diameter_m,detected,delay_h,localisation_m
A_EVENT_HELDOUT_2018,4,FO,p257,incipient,0.011843,1,3073.0833333333335,1150.5899500000003
A_EVENT_HELDOUT_2018,4,D_optimal_bayesian,p257,incipient,0.011843,1,526.25,2864.5226500000017
A_EVENT_HELDOUT_2018,4,A_optimal_bayesian,p257,incipient,0.011843,1,526.25,2864.5226500000017
A_EVENT_HELDOUT_2018,4,E_optimal_observable_subspace,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,4,bayesian_information_gain,p257,incipient,0.011843,1,526.25,2864.5226500000017
A_EVENT_HELDOUT_2018,4,D_optimal_rank_reduced,p257,incipient,0.011843,1,1437.0833333333333,2065.6011500000004
A_EVENT_HELDOUT_2018,4,A_optimal_rank_reduced,p257,incipient,0.011843,1,1455.75,1598.01835
A_EVENT_HELDOUT_2018,4,E_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,1617.10735
A_EVENT_HELDOUT_2018,4,goal_oriented_oed,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,4,topological_dispersion,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,4,centrality,p257,incipient,0.011843,1,3073.0833333333335,1452.2697500000006
A_EVENT_HELDOUT_2018,6,FO,p257,incipient,0.011843,1,1455.75,2878.9772500000017
A_EVENT_HELDOUT_2018,6,D_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,A_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,E_optimal_observable_subspace,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,bayesian_information_gain,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,D_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,A_optimal_rank_reduced,p257,incipient,0.011843,1,1437.0833333333333,2103.2486500000005
A_EVENT_HELDOUT_2018,6,E_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,goal_oriented_oed,p257,incipient,0.011843,1,526.25,1598.01835
A_EVENT_HELDOUT_2018,6,topological_dispersion,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,6,centrality,p257,incipient,0.011843,1,1455.75,2864.5226500000017
A_EVENT_HELDOUT_2018,8,FO,p257,incipient,0.011843,1,1455.75,2878.9772500000017
A_EVENT_HELDOUT_2018,8,D_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,A_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,E_optimal_observable_subspace,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,bayesian_information_gain,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,D_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,A_optimal_rank_reduced,p257,incipient,0.011843,1,1437.0833333333333,2103.2486500000005
A_EVENT_HELDOUT_2018,8,E_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,1598.01835
A_EVENT_HELDOUT_2018,8,goal_oriented_oed,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,topological_dispersion,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,8,centrality,p257,incipient,0.011843,1,1455.75,1598.01835
A_EVENT_HELDOUT_2018,10,FO,p257,incipient,0.011843,1,1455.75,2878.9772500000017
A_EVENT_HELDOUT_2018,10,D_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,A_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,E_optimal_observable_subspace,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,bayesian_information_gain,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,D_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,A_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,E_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,goal_oriented_oed,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,topological_dispersion,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,10,centrality,p257,incipient,0.011843,1,1455.75,1617.10735
A_EVENT_HELDOUT_2018,12,FO,p257,incipient,0.011843,1,1455.75,2878.9772500000017
A_EVENT_HELDOUT_2018,12,D_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,A_optimal_bayesian,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,E_optimal_observable_subspace,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,bayesian_information_gain,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,D_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,A_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,E_optimal_rank_reduced,p257,incipient,0.011843,1,526.25,1598.01835
A_EVENT_HELDOUT_2018,12,goal_oriented_oed,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,topological_dispersion,p257,incipient,0.011843,1,526.25,2878.9772500000017
A_EVENT_HELDOUT_2018,12,centrality,p257,incipient,0.011843,1,1455.75,1617.10735
A_EVENT_HELDOUT_2018,4,FO,p461,incipient,0.02132,1,384.4166666666667,1083.9815
A_EVENT_HELDOUT_2018,4,D_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1602.5909000000001
A_EVENT_HELDOUT_2018,4,A_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1602.5909000000001
A_EVENT_HELDOUT_2018,4,E_optimal_observable_subspace,p461,incipient,0.02132,1,197.91666666666666,1917.4326000000005
A_EVENT_HELDOUT_2018,4,bayesian_information_gain,p461,incipient,0.02132,1,197.91666666666666,1602.5909000000001
A_EVENT_HELDOUT_2018,4,D_optimal_rank_reduced,p461,incipient,0.02132,1,45.5,1467.1406500000005
A_EVENT_HELDOUT_2018,4,A_optimal_rank_reduced,p461,incipient,0.02132,1,306.8333333333333,1006.59675
A_EVENT_HELDOUT_2018,4,E_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,2022.2249500000007
A_EVENT_HELDOUT_2018,4,goal_oriented_oed,p461,incipient,0.02132,1,108.0,632.9675500000001
A_EVENT_HELDOUT_2018,4,topological_dispersion,p461,incipient,0.02132,1,197.91666666666666,2022.2249500000007
A_EVENT_HELDOUT_2018,4,centrality,p461,incipient,0.02132,1,293.9166666666667,1491.1279499999998
A_EVENT_HELDOUT_2018,6,FO,p461,incipient,0.02132,1,285.6666666666667,1182.24405
A_EVENT_HELDOUT_2018,6,D_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,6,A_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,6,E_optimal_observable_subspace,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,6,bayesian_information_gain,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,6,D_optimal_rank_reduced,p461,incipient,0.02132,1,17.833333333333332,1703.5344500000003
A_EVENT_HELDOUT_2018,6,A_optimal_rank_reduced,p461,incipient,0.02132,1,45.5,1422.1610500000006
A_EVENT_HELDOUT_2018,6,E_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,2022.2249500000007
A_EVENT_HELDOUT_2018,6,goal_oriented_oed,p461,incipient,0.02132,1,108.0,2093.0507
A_EVENT_HELDOUT_2018,6,topological_dispersion,p461,incipient,0.02132,1,197.91666666666666,1917.4326000000005
A_EVENT_HELDOUT_2018,6,centrality,p461,incipient,0.02132,1,293.9166666666667,1491.1279499999998
A_EVENT_HELDOUT_2018,8,FO,p461,incipient,0.02132,1,285.6666666666667,1182.24405
A_EVENT_HELDOUT_2018,8,D_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,8,A_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,8,E_optimal_observable_subspace,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,8,bayesian_information_gain,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,8,D_optimal_rank_reduced,p461,incipient,0.02132,1,17.833333333333332,1703.5344500000003
A_EVENT_HELDOUT_2018,8,A_optimal_rank_reduced,p461,incipient,0.02132,1,45.5,1467.1406500000005
A_EVENT_HELDOUT_2018,8,E_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,2022.2249500000007
A_EVENT_HELDOUT_2018,8,goal_oriented_oed,p461,incipient,0.02132,1,108.0,2093.0507
A_EVENT_HELDOUT_2018,8,topological_dispersion,p461,incipient,0.02132,1,197.91666666666666,1819.3081000000006
A_EVENT_HELDOUT_2018,8,centrality,p461,incipient,0.02132,1,293.9166666666667,1534.6901
A_EVENT_HELDOUT_2018,10,FO,p461,incipient,0.02132,1,285.6666666666667,1186.4917
A_EVENT_HELDOUT_2018,10,D_optimal_bayesian,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,10,A_optimal_bayesian,p461,incipient,0.02132,1,108.0,1602.5909000000001
A_EVENT_HELDOUT_2018,10,E_optimal_observable_subspace,p461,incipient,0.02132,1,108.0,1602.5909000000001
A_EVENT_HELDOUT_2018,10,bayesian_information_gain,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,10,D_optimal_rank_reduced,p461,incipient,0.02132,1,17.833333333333332,1703.5344500000003
A_EVENT_HELDOUT_2018,10,A_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,10,E_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,2022.2249500000007
A_EVENT_HELDOUT_2018,10,goal_oriented_oed,p461,incipient,0.02132,1,108.0,2183.0611500000005
A_EVENT_HELDOUT_2018,10,topological_dispersion,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,10,centrality,p461,incipient,0.02132,1,293.9166666666667,1534.6901
A_EVENT_HELDOUT_2018,12,FO,p461,incipient,0.02132,1,285.6666666666667,1182.24405
A_EVENT_HELDOUT_2018,12,D_optimal_bayesian,p461,incipient,0.02132,1,108.0,1602.5909000000001
A_EVENT_HELDOUT_2018,12,A_optimal_bayesian,p461,incipient,0.02132,1,108.0,1602.5909000000001
A_EVENT_HELDOUT_2018,12,E_optimal_observable_subspace,p461,incipient,0.02132,1,108.0,1602.5909000000001
A_EVENT_HELDOUT_2018,12,bayesian_information_gain,p461,incipient,0.02132,1,108.0,1602.5909000000001
A_EVENT_HELDOUT_2018,12,D_optimal_rank_reduced,p461,incipient,0.02132,1,17.833333333333332,1703.5344500000003
A_EVENT_HELDOUT_2018,12,A_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,12,E_optimal_rank_reduced,p461,incipient,0.02132,1,197.91666666666666,2022.2249500000007
A_EVENT_HELDOUT_2018,12,goal_oriented_oed,p461,incipient,0.02132,1,108.0,1381.0890000000004
A_EVENT_HELDOUT_2018,12,topological_dispersion,p461,incipient,0.02132,1,197.91666666666666,1703.5344500000003
A_EVENT_HELDOUT_2018,12,centrality,p461,incipient,0.02132,1,282.6666666666667,1485.3151
A_EVENT_HELDOUT_2018,4,FO,p232,incipient,0.020108,0,,
A_EVENT_HELDOUT_2018,4,D_optimal_bayesian,p232,incipient,0.020108,1,245.91666666666666,1320.39365
A_EVENT_HELDOUT_2018,4,A_optimal_bayesian,p232,incipient,0.020108,1,245.91666666666666,1320.39365
A_EVENT_HELDOUT_2018,4,E_optimal_observable_subspace,p232,incipient,0.020108,1,245.91666666666666,1197.6498
A_EVENT_HELDOUT_2018,4,bayesian_information_gain,p232,incipient,0.020108,1,245.91666666666666,1320.39365
A_EVENT_HELDOUT_2018,4,D_optimal_rank_reduced,p232,incipient,0.020108,1,245.91666666666666,1421.3372000000004
A_EVENT_HELDOUT_2018,4,A_optimal_rank_reduced,p232,incipient,0.020108,0,,
A_EVENT_HELDOUT_2018,4,E_optimal_rank_reduced,p232,incipient,0.020108,0,,
A_EVENT_HELDOUT_2018,4,goal_oriented_oed,p232,incipient,0.020108,0,,
A_EVENT_HELDOUT_2018,4,topological_dispersion,p232,incipient,0.020108,1,196.25,1740.0277000000008
A_EVENT_HELDOUT_2018,4,centrality,p232,incipient,0.020108,0,,
A_EVENT_HELDOUT_2018,6,FO,p232,incipient,0.020108,0,,
A_EVENT_HELDOUT_2018,6,D_optimal_bayesian,p232,incipient,0.020108,1,245.91666666666666,1320.39365
A_EVENT_HELDOUT_2018,6,A_optimal_bayesian,p232,incipient,0.020108,1,245.91666666666666,1320.39365
A_EVENT_HELDOUT_2018,6,E_optimal_observable_subspace,p232,incipient,0.020108,1,245.91666666666666,1320.39365
