placement,method,density_pct,specificity,n_sensors_net3
optimal,probability_based,2.0,58.0,1.9
optimal,probability_based,4.0,76.0,3.9
optimal,probability_based,6.0,88.0,5.8
optimal,probability_based,10.0,89.0,9.7
optimal,probability_based,20.0,95.0,19.4
optimal,contaminant_status,2.0,48.0,1.9
optimal,contaminant_status,4.0,69.0,3.9
optimal,contaminant_status,6.0,74.0,5.8
optimal,contaminant_status,10.0,78.0,9.7
optimal,contaminant_status,20.0,87.0,19.4
optimal,optimization,2.0,75.0,1.9
optimal,optimization,4.0,94.0,3.9
optimal,optimization,6.0,96.0,5.8
optimal,optimization,10.0,96.0,9.7
optimal,optimization,20.0,96.0,19.4
random,probability_based,2.0,65.0,1.9
random,probability_based,4.0,87.0,3.9
random,probability_based,6.0,88.0,5.8
random,probability_based,10.0,90.0,9.7
random,probability_based,20.0,91.0,19.4
random,contaminant_status,2.0,64.0,1.9
random,contaminant_status,4.0,70.0,3.9
random,contaminant_status,6.0,71.0,5.8
random,contaminant_status,10.0,73.0,9.7
random,contaminant_status,20.0,81.0,19.4
random,optimization,2.0,88.0,1.9
random,optimization,4.0,90.0,3.9
random,optimization,6.0,90.0,5.8
random,optimization,10.0,91.0,9.7
random,optimization,20.0,91.0,19.4
