network,scenario_id,true_source,horizon_h,method,n_total_nodes,sensor_design,sensor_count,n_ge_true_source,n_gt_true_source,specificity_pct,in_tied_argmax,top1_correct,posterior_true_source,nll_true_source,posterior_entropy,top1_top2_margin,candidate_set_size_q25
Net3,0,10,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,0,10,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,0,10,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,0,10,2,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,1,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,0,10,4,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,0.9999978226606849,2.1773416854748257e-06,3.8581958128677115e-05,0.9999972139061527,1
Net3,0,10,4,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,0,10,8,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,3.391624513295659e-28,1.0,1
Net3,0,10,8,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,0,10,16,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,1.0507697333827491e-35,1.0,1
Net3,0,10,16,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,0,10,24,probability_based,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,4.102181416379178e-43,1.0,1
Net3,0,10,24,contaminant_status,97,103;117;119;187;217,5,1,0,98.96907216494846,1,1,1.0,-0.0,-0.0,1.0,1
Net3,1,15,1,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,1,15,1,contaminant_status,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
Net3,1,15,2,probability_based,97,103;117;119;187;217,5,92,0,5.154639175257736,1,0,0.010869565217391304,4.5217885770490405,4.5217885770490405,0.0,92
