method,horizon_h,accuracy_pct,specificity_pct
probability_based,1,1.0,35.0
probability_based,2,1.0,52.0
probability_based,4,44.0,72.0
probability_based,8,100.0,90.0
probability_based,16,100.0,90.0
probability_based,24,100.0,90.0
contaminant_status,1,20.0,15.0
contaminant_status,2,40.0,30.0
contaminant_status,4,80.0,64.0
contaminant_status,8,100.0,75.0
contaminant_status,16,100.0,78.0
contaminant_status,24,100.0,80.0
optimization,1,20.0,40.0
optimization,2,28.0,54.0
optimization,4,72.0,72.0
optimization,8,100.0,90.0
optimization,16,100.0,90.0
optimization,24,100.0,90.0
