start_h,dur_h,strength,n_sensors,rmse,mae,bias,maxerr,spearman,curve
0,6,10000.0,5,8.718186446088732,7.08239952188854,-4.478484984311969,17.610936799641422,0.9411239481143202,36.5;58.3;64.2;72.4;85.3;85.4
0,2,10000.0,5,8.869599107867657,7.3307933662034985,-4.726878828626927,17.6557597489915,0.9411239481143202,36.5;58.3;64.3;72.3;84.6;84.6
0,6,1000.0,5,9.00619123129846,7.114149111011503,-5.698042731211706,18.24966382787987,0.9411239481143202,35.7;55.6;63.5;71.8;84.1;84.2
0,2,1000.0,5,9.296360141316077,7.510085163603766,-6.093978783803969,18.30569251456747,0.9548637106322311,35.7;55.6;63.6;71.7;83.0;83.0
0,1,10000.0,5,10.661910090239926,8.834229792320338,-7.365829971612134,19.896907216494853,0.9548637106322311,36.5;54.9;61.7;70.1;80.8;80.8
0,1,1000.0,5,12.295442880720888,9.773644105782155,-9.295084416554602,22.294935006723435,0.9548637106322311,35.7;52.8;59.0;67.7;79.0;79.0
0,6,100.0,10,13.008003193483994,12.13140594651128,-0.5788883908561182,17.02734199910354,0.9411239481143202,50.1;69.0;74.6;75.9;76.6;79.4
0,1,1000.0,10,13.85722616149682,12.269610040340659,5.009039294785601,23.392200806813094,0.8932596002688613,53.6;75.4;81.8;81.8;82.2;84.2
0,2,100.0,10,14.197326359407933,13.26878828626924,-1.7984461377558685,17.02734199910354,0.6982532518267538,50.1;69.0;74.3;73.6;74.3;76.9
0,1,10000.0,10,14.295863206012301,11.830718661287918,6.665620797848503,25.81264007171673,0.9411239481143202,53.6;77.8;83.1;83.1;83.9;87.5
0,6,1000.0,10,14.73629860835402,11.120648438667265,9.353130135962944,27.5943523083819,0.9411239481143202,53.6;79.6;85.3;87.0;87.7;91.9
0,2,1000.0,10,14.90030928234099,11.918496937098466,7.855296578514866,27.5943523083819,0.9411239481143202,53.6;79.6;85.1;85.1;85.5;87.2
1,6,1000.0,10,15.405322789189306,11.902808904825937,-1.0868818168235503,29.845360824742265,0.9411239481143202,5.2;71.0;83.2;85.0;85.9;92.3
0,6,10000.0,10,15.414583083764326,11.548334080382487,9.750933811444787,29.409681757059616,0.9411239481143202,53.6;81.4;86.0;86.9;87.7;91.9
0,2,10000.0,10,15.423534827261447,11.681308830121024,8.82832810398924,29.409681757059616,0.9411239481143202,53.6;81.4;85.5;85.6;86.3;89.6
1,2,1000.0,10,15.595845065149723,12.506424622740177,-2.3755416106379776,29.845360824742265,0.9411239481143202,5.2;71.0;83.4;84.0;84.4;86.8
