metric,split,mean_auprc,prevalence
fo_d_S,test,0.6386354682740244,0.2532010582010582
entropy,test,0.6810551857217195,0.2532010582010582
top1_top2_margin,test,0.7045858302867409,0.2532010582010582
snr_mean,test,0.6313953972319832,0.2532010582010582
count_above_3sigma,test,0.5762368177821404,0.2532010582010582
smallest_singular_value,test,0.5963975492870399,0.2532010582010582
design_size,test,0.25320105820105815,0.2532010582010582
fo_d_S,val,0.6853728237161862,0.2390873015873016
entropy,val,0.6961886851051694,0.2390873015873016
top1_top2_margin,val,0.6726336854796684,0.2390873015873016
snr_mean,val,0.6835060817805745,0.2390873015873016
count_above_3sigma,val,0.6147336480838707,0.2390873015873016
smallest_singular_value,val,0.6448120999630549,0.2390873015873016
design_size,val,0.23908730158730154,0.2390873015873016
