split,design_size,n_designs,mean_accuracy,auroc_fo_d_S,auroc_entropy,auroc_top1_top2_margin,auroc_snr_mean,auroc_count_above_3sigma,auroc_smallest_singular_value,auroc_design_size
test,3,20,0.5668253968253968,0.9098330786375328,0.9263954027425841,0.9119702811830812,0.9072665228706631,0.8449723142018446,0.8526260722866864,0.5
test,6,20,0.6447619047619046,0.8931251449540891,0.9265961263010063,0.919010544590803,0.8934487162528232,0.8763862481175433,0.8444661645917367,0.5
test,10,20,0.7371428571428572,0.853941764143468,0.9110714909301947,0.9213488779919448,0.8498742452739079,0.8239659388137976,0.8169211342232311,0.5
test,16,20,0.7974603174603175,0.8233599134749247,0.9028854224908773,0.9285631944391539,0.818522500466383,0.8003866345511439,0.799731898958012,0.5
test,24,20,0.8234920634920636,0.8347560788549163,0.8987324277244412,0.9269505586391172,0.8328697984294958,0.8109612367020912,0.8176704446731439,0.5
test,41,20,0.9111111111111112,0.8032603285216526,0.8789198606271779,0.9310602289696366,0.7863364858138377,0.7648705823792933,0.7706570433051269,0.5
val,3,20,0.5723809523809523,0.9259663117253443,0.934359967575972,0.9260304887303897,0.9250944040825028,0.8570148431273091,0.8646808493817252,0.5
val,6,20,0.6630952380952382,0.9159714762094675,0.932871911821384,0.9223825153454165,0.9182016610673329,0.8974832093350094,0.8728981774647924,0.5
val,10,20,0.7538095238095238,0.9044766235123834,0.9246644125114599,0.913664034464089,0.9030149004355701,0.8704736276461531,0.8653341855634059,0.5
val,16,20,0.8064285714285715,0.8938635277507665,0.9246803286841618,0.9268907698374609,0.890748679648152,0.8621547030268017,0.8686500843749296,0.5
val,24,20,0.8364285714285715,0.9040372758496777,0.9301224461155767,0.9290226733716368,0.9060216810798867,0.8725541762974232,0.8890282972176777,0.5
val,41,20,0.9333333333333332,0.8547740524781341,0.9063411078717204,0.8997813411078717,0.8533163265306122,0.8163265306122447,0.8299927113702624,0.5
