metric,split,decile,n,failure_rate,score_min,score_max
fo_d_S,test,1,3829,0.8600156698876992,0.0,2.999674479166667
fo_d_S,test,2,3733,0.5496919367800697,2.9998779296875,11.916669706503551
fo_d_S,test,3,3783,0.44885011895321175,11.927993774414062,25.200653076171875
fo_d_S,test,4,3787,0.22788486928967522,25.23199462890625,41.66666666666667
fo_d_S,test,5,3776,0.1954449152542373,41.69499278068543,140.39993286132812
fo_d_S,test,6,3819,0.04713275726630008,140.4998779296875,223.66617838541669
fo_d_S,test,7,3742,0.07562800641368252,223.6669921875,364.3326822916667
fo_d_S,test,8,3805,0.025492772667542705,364.6671549479167,643.0999755859375
fo_d_S,test,9,3748,0.03388473852721451,644.6671549479167,1002.3331705729169
fo_d_S,test,10,3778,0.06352567496029646,1015.0,1430.7998657226562
fo_d_S,val,1,2548,0.8857927786499215,0.0,3.00048828125
fo_d_S,val,2,2506,0.5422984836392658,3.011993408203125,12.000325520833334
fo_d_S,val,3,2508,0.44258373205741625,12.076004028320312,24.69940185546875
fo_d_S,val,4,2538,0.2202521670606777,24.80999755859375,42.60025024414063
fo_d_S,val,5,2508,0.16148325358851676,42.666829427083336,139.90005493164062
fo_d_S,val,6,2524,0.04080824088748019,140.20004272460938,226.00016276041669
fo_d_S,val,7,2516,0.05246422893481717,226.80001954237625,373.33333333333337
fo_d_S,val,8,2529,0.012257809410834321,373.99983723958337,650.0
fo_d_S,val,9,2515,0.014314115308151094,652.4002075195312,1018.9998372395834
fo_d_S,val,10,2508,0.013157894736842105,1022.0003255208334,1425.9002685546875
