metric,split,pooled_auroc,n_pairs,independence
fo_d_S,test,0.8607483564303572,37800,VIOLATED (design x scenario)
entropy,test,0.9247903726200304,37800,VIOLATED (design x scenario)
top1_top2_margin,test,0.9256986790042995,37800,VIOLATED (design x scenario)
snr_mean,test,0.8403499686295893,37800,VIOLATED (design x scenario)
count_above_3sigma,test,0.8404787773165494,37800,VIOLATED (design x scenario)
smallest_singular_value,test,0.6547381090083806,37800,VIOLATED (design x scenario)
design_size,test,0.6702549819803488,37800,VIOLATED (design x scenario)
fo_d_S,val,0.8975467321622748,25200,VIOLATED (design x scenario)
entropy,val,0.937639440185667,25200,VIOLATED (design x scenario)
top1_top2_margin,val,0.9251590731794402,25200,VIOLATED (design x scenario)
snr_mean,val,0.8787407834587524,25200,VIOLATED (design x scenario)
count_above_3sigma,val,0.8727382235037626,25200,VIOLATED (design x scenario)
smallest_singular_value,val,0.6780821024955774,25200,VIOLATED (design x scenario)
design_size,val,0.6814992940107224,25200,VIOLATED (design x scenario)
