metric,split,mean_auroc,ci_lo,ci_hi,ci_width,n_scenarios,n_designs
fo_d_S,test,0.8530460514310972,0.8120692324599065,0.8897725015853651,0.07770326912545866,315,120
entropy,test,0.9074334551360469,0.8858333605127949,0.9282974165307929,0.042464056017997964,315,120
top1_top2_margin,test,0.9231465513145347,0.9073859402340391,0.9374100638250051,0.030024123590966068,315,120
snr_mean,test,0.8480530448511849,0.805488227688995,0.8850411768719267,0.07955294918293176,315,120
count_above_3sigma,test,0.820257159127619,0.7816372430737394,0.8539640700287965,0.0723268269550571,315,120
smallest_singular_value,test,0.8170121263396563,0.7774596162796774,0.8516340135030294,0.07417439722335195,315,120
design_size,test,0.5,0.5,0.5,0.0,315,120
fo_d_S,val,0.8998482112542957,0.8675671786243604,0.9314678551750684,0.06390067655070797,210,120
entropy,val,0.9255066957633792,0.8982831583594335,0.9484713600288449,0.0501882016694114,210,120
top1_top2_margin,val,0.9196288345693989,0.8926595544200882,0.9431178730829033,0.05045831866281514,210,120
snr_mean,val,0.8993996088073428,0.8684815751785904,0.9287264740450221,0.060244898866431695,210,120
count_above_3sigma,val,0.8626678483408237,0.8311828337380659,0.8939305581274609,0.06274772438939502,210,120
smallest_singular_value,val,0.8650973842287989,0.8328731731981183,0.8961432655767361,0.0632700923786178,210,120
design_size,val,0.5,0.5,0.5,0.0,210,120
