split,fault,n,failure_rate,median_fo_d_S,median_iso_d_nearest,median_iso_margin_ratio,median_mahalanobis,auroc_fo_d_S,auroc_iso_d_nearest,auroc_iso_margin_ratio,auroc_mahalanobis
val,1,1200,0.0,620.212530096372,6.9813615579617,6.455387532057344,65.57646639454694,,,,
val,2,1200,0.0,257.7293971005608,30.202119634883253,29.16404851960801,925.4357120092304,,,,
val,3,1200,0.5591666666666667,3.7502288818359375,0.00481400322199835,0.0048068515103525,2.4226855972179043e-05,0.9775467025769173,0.9849616434574134,0.9850095363126445,0.9850996875695502
val,4,1200,0.5125,16.000366210937504,0.0010346868373082999,0.0010335593892346,1.1108807399832455e-06,0.8551803210339796,0.8910430129942326,0.8910207768744354,0.8965158779792928
val,5,1200,0.0016666666666666668,229.33349609375006,0.32697718643769513,0.3175056091036679,0.12375564934199565,0.5834724540901502,0.9382303839732887,0.9365609348914857,0.9720367278797997
val,6,1200,0.0,1042.3339843750002,61.24177383797579,19.031140985192103,4647.738274943778,,,,
val,7,1200,0.0008333333333333334,480.6665039062499,0.43392282890041667,0.4067489971393591,0.32492625580535195,0.9683069224353628,0.9899916597164303,0.9899916597164303,0.9824854045037531
val,8,1200,0.035,481.00016276041686,3.1467910417839278,0.8472425994291768,10.77122713415466,0.6736882144913233,0.7322353811991118,0.7208857636318776,0.7307755572004276
val,9,1200,0.7341666666666666,11.699676513671877,0.0072753997214866,0.00721279636881445,7.324464254841341e-05,0.6075989453421056,0.7398617273759158,0.7398190286757353,0.7409256366554107
val,10,1200,0.20916666666666667,91.6666666666667,0.1101367022000899,0.0991571369387233,0.02555526046554525,0.5652920457264724,0.523969454111898,0.5224035365387764,0.5310097859352894
val,11,1200,0.3541666666666667,34.60006713867188,0.007496846160906,0.00746593754518005,7.729032341964787e-05,0.8722793168880456,0.8872440227703986,0.8871407969639469,0.8679954459203035
val,12,1200,0.04666666666666667,774.6663411458334,1.244479923644454,0.10697680588546216,11.022943730660629,0.8094327547452548,0.4357205294705295,0.35739260739260736,0.4006774475524475
val,13,1200,0.02666666666666667,743.1999206542966,2.271330682929205,0.5789341615178141,10.705210452525112,0.4910504066780821,0.479933647260274,0.7327161815068494,0.2940122003424657
val,14,1200,0.3258333333333333,41.00036621093751,0.052732683062737595,0.052451230797500095,0.00347919887043935,0.9504155615059482,0.878502397895795,0.8771556561572336,0.8715473936121447
val,15,1200,0.5241666666666667,26.499938964843746,0.0072885152657632,0.0072386141257205,7.635399943914698e-05,0.8367519677914239,0.7724127754003101,0.7725213624049516,0.7478776809156947
val,16,1200,0.36833333333333335,52.078247070312514,0.03972740277219755,0.0374926231084715,0.00274382631711515,0.7801191513747777,0.7701978294869805,0.7686636659941022,0.7601780107212359
val,17,1200,0.1175,170.74966430664062,0.32536324679562256,0.23374271441255173,0.15262651082416676,0.8815221103811304,0.8626229749730443,0.8701772714791822,0.8180673591438464
val,18,1200,0.06833333333333333,1078.6661783854172,15.658992180314062,1.930702118445088,653.6455405827687,0.8109374318251232,0.902384484488852,0.7855054758060999,0.894988873860116
val,19,1200,0.25833333333333336,25.699996948242195,0.03827373828497395,0.037144596152567,0.00184691895450125,0.7096085538238492,0.8825154041319319,0.8819064878579196,0.8717397607828924
val,20,1200,0.04583333333333333,162.20016479492188,2.9335252722061007,2.217709030057687,11.285163394795884,0.9172369988090512,0.9502024612941643,0.9514886859865025,0.9498531163159982
val,21,1200,0.8325,0.0,0.0002328677489093,0.0002328677351139,0.0,0.569582019830776,0.7339478782264852,0.7339528583309678,0.5747189976045697
test,1,1800,0.0,614.8708301285903,6.98231936361306,6.402973363577491,66.22924085898242,,,,
test,2,1800,0.0,259.105896248537,30.21579767365454,29.064438357032984,926.1222596153721,,,,
test,3,1800,0.5261111111111111,3.900146484375,0.00492035725432915,0.00490916936881005,2.5064771656961293e-05,0.9645997541443271,0.97157804432087,0.97157804432087,0.9720026591036542
test,4,1800,0.45166666666666666,16.000366210937504,0.0014389227245197,0.0014367370023332,2.2239974045710752e-06,0.9358623981376593,0.9215483948152552,0.9215471486021851,0.9219135352447748
test,5,1800,0.011666666666666667,228.33333333333323,0.3302926056588299,0.31899180121591125,0.1267046310534046,0.7909740624749055,0.8673412029229904,0.8720790171043122,0.871463368933858
test,6,1800,0.0,1045.0000000000005,60.780862152193556,19.417250433382634,4588.570742172727,,,,
test,7,1800,0.0038888888888888888,474.66634114583337,0.37307346225576077,0.3439785053221212,0.2476067547121156,0.8966217831248506,0.929647040076488,0.9333120866863198,0.8074257031312246
test,8,1800,0.02,507.4999978144962,2.3033148059767856,0.8185159142867082,6.651441747191317,0.46696271101033004,0.7682665658856136,0.7498740236835475,0.7254503653313177
test,9,1800,0.8205555555555556,11.666666666666666,0.00628158477464495,0.00624001332813485,5.4760686946474894e-05,0.504568502382245,0.6587237539066512,0.6587153694104231,0.656250327519384
test,10,1800,0.2833333333333333,84.66715494791669,0.0776378886633705,0.07097477052754225,0.011008339914987699,0.6024015807873536,0.6010685514515883,0.5916339869281045,0.6071302629578963
test,11,1800,0.3888888888888889,34.60006713867188,0.007161183485889301,0.00712731359987245,6.710769551159982e-05,0.8570233766233766,0.8855844155844156,0.885435064935065,0.8734220779220779
test,12,1800,0.14277777777777778,733.3333333333336,1.3140027506840195,0.111796377435667,9.370032624877833,0.5828733252469418,0.38325965638719867,0.37565155553762314,0.3458697620230437
test,13,1800,0.09777777777777778,724.9999999999998,3.032630300804816,0.5979476069582556,13.38773476333482,0.42524595555306766,0.3281809785042543,0.6914394872369011,0.2835906012091357
test,14,1800,0.31777777777777777,41.00036621093751,0.052550053295109894,0.05232204247902425,0.00347950989588695,0.9402683025443612,0.8977927609849434,0.8957170679483384,0.8928498211885835
test,15,1800,0.5561111111111111,27.00042724609375,0.0089291633502175,0.00881965524153885,9.509201879681891e-05,0.8449466678502974,0.7889794810946251,0.7890432471158377,0.7764000705177175
test,16,1800,0.3888888888888889,56.66666666666667,0.035276428934572945,0.0337919816812589,0.0016919437572606002,0.6022175324675324,0.6193935064935064,0.6169922077922079,0.5759974025974025
test,17,1800,0.09777777777777778,162.69989013671875,0.3828033220181416,0.26524594537419544,0.20163667153419346,0.8533853000447827,0.8623103728168383,0.8645984941782356,0.8380576858486342
test,18,1800,0.11166666666666666,1091.0001627604163,19.47789167566642,1.8564978456940155,876.3350508227438,0.6873092324493854,0.7923235604342266,0.628057336830544,0.774737942557382
test,19,1800,0.24222222222222223,25.500488281250004,0.043006034883849145,0.041497332946890356,0.0022090477065546,0.719607569479943,0.8854455325674622,0.8848906346686756,0.8748957464553795
test,20,1800,0.05444444444444444,167.80014038085943,2.861093382233233,2.1467896390862875,10.982539353081552,0.9136729897599463,0.9296326050984436,0.9296505911412744,0.9355799899278161
test,21,1800,0.8016666666666666,0.0,0.00023374240012865,0.00023374179119864998,0.0,0.4980520274637922,0.7602489367195249,0.7602489367195249,0.49794332147273324
