model,n_features,split,auroc,auprc,brier,log_loss,calib_slope,features
M0_SNR,1,val,0.8787407834587524,0.7001615201809119,0.11856612283991837,0.3727621597129017,1.1464761630769065,mean_abs
M1_FO,1,val,0.8975467321622748,0.7312069521303052,0.1053718615662415,0.3358057318430801,1.0537246331716386,fo_d_S
M2_BSTAR,1,val,0.6093939961157064,0.3168768975671793,0.1753286314652795,0.5329304338309251,0.9611813793465978,b_star
M3_FO_BSTAR,2,val,0.8978057658495946,0.7261608295629789,0.10487254100262196,0.3351787450920156,1.057144117654212,fo_d_S|b_star
M4_SNR_FO,2,val,0.8979958863276115,0.7313088461050373,0.10566527305356763,0.3369359355028133,1.0400912121982246,mean_abs|fo_d_S
M5_SNR_FO_BSTAR,3,val,0.8990797665095999,0.7277071772777237,0.10466180981785397,0.3359772226966723,1.0439470906387491,mean_abs|fo_d_S|b_star
M6_SNR_FO_BSTAR_INT,4,val,0.8986180570958685,0.7433746149629985,0.10443646647755915,0.33550795181106097,1.0409743535611022,mean_abs|fo_d_S|b_star|fo_x_bstar
M7_SNR_MAHA_ISO,3,val,0.9005183400325674,0.7157994874700909,0.10891319025484546,0.3419914251758602,1.0843169811781754,mean_abs|mahalanobis|iso_d_nearest
M8_KL_ISO,3,val,0.8176908080737042,0.5621942454678042,0.142181293264844,0.4282358574944017,1.0872407381424705,kl_gauss|kl_undefined|iso_kl_nearest
M9_STANDARD_FULL,10,val,0.9237403301108483,0.8065424702872752,0.09093519115131762,0.29266454143619597,1.0534561443137518,mean_abs|rms|l2_channels|mahalanobis|kl_gauss|kl_undefined|iso_d_nearest|iso_d_mean_others|iso_margin_ratio|design_size
M10_STANDARD_PLUS_FO_BSTAR,13,val,0.9251640632523114,0.8142778548800466,0.08912745207465822,0.2882670634386471,1.0457610097780639,mean_abs|rms|l2_channels|mahalanobis|kl_gauss|kl_undefined|iso_d_nearest|iso_d_mean_others|iso_margin_ratio|design_size|fo_d_S|b_star|fo_x_bstar
