model,cohort,n,auroc,auprc,brier,log_loss,calib_slope
M0_SNR,nominal,126000,0.8669021160163326,0.673622059411916,0.12061858761770522,0.38179019132132586,1.0661709230126015
M1_FO,nominal,126000,0.8865138373210277,0.7083525394260032,0.10731916247135566,0.34455579708037304,1.0054744873203465
M2_BSTAR,nominal,126000,0.613713577177207,0.31553984396110935,0.17262464624208163,0.5266895284110361,0.9749665440824696
M3_FO_BSTAR,nominal,126000,0.8869608337416366,0.7032513416210886,0.1069033145365525,0.34423085475795334,1.0081836291338093
M4_SNR_FO,nominal,126000,0.8871655211137561,0.7089304382275523,0.107281004818654,0.3446184451801085,0.9986149880858053
M5_SNR_FO_BSTAR,nominal,126000,0.8882138308481509,0.7048816109396767,0.10647460029155362,0.34409293125994783,1.001356789065238
M6_SNR_FO_BSTAR_INT,nominal,126000,0.8880946611054049,0.7223885873905771,0.1062552537205116,0.3432861749012875,0.9989691459848042
M7_SNR_MAHA_ISO,nominal,126000,0.8885139936355165,0.699607529114102,0.11226970003091011,0.35797528732603884,1.022375663526526
M8_KL_ISO,nominal,126000,0.8178688177389298,0.5612695026376884,0.14085599716742575,0.4293229821435195,1.0548389576572854
M9_STANDARD_FULL,nominal,126000,0.915060565720654,0.7946379962527902,0.09279047405494754,0.30270319170016524,1.019101505745944
M10_STANDARD_PLUS_FO_BSTAR,nominal,126000,0.9162474713761709,0.8021919883188543,0.09103199366603999,0.29838045132409025,1.0140574025750013
MD_DET_STD,nominal,126000,0.8820100935626911,0.6951500947418531,0.11088321770577825,0.35939819883472296,1.0740527284904027
MD_DET_STD_FO,nominal,126000,0.894206695763162,0.7370271154833455,0.10468705094595274,0.3363876838078806,1.0127969004217416
MI_VIS_ONLY,nominal,126000,0.8871655211137561,0.7089304382275523,0.107281004818654,0.3446184451801085,0.9986149880858053
MI_VIS_ISO,nominal,126000,0.9066169706541709,0.7549029891122215,0.09965608069755064,0.32108539867046615,1.0256282032663249
