seed_index,seed_value,used_in_phase14,in_noise_cohort
0,2000000000,False,True
1,2000007919,False,True
2,2000015838,False,True
3,2000023757,False,True
4,2000031676,False,True
5,2000039595,False,True
6,2000047514,False,True
7,2000055433,False,True
8,2000063352,False,True
9,2000071271,False,True
10,2000079190,False,True
11,2000087109,False,True
12,2000095028,False,True
13,2000102947,False,True
14,2000110866,False,True
15,2000118785,False,True
16,2000126704,False,True
17,2000134623,False,True
18,2000142542,False,True
19,2000150461,False,True
20,2000158380,False,False
21,2000166299,False,False
22,2000174218,False,False
23,2000182137,False,False
24,2000190056,False,False
25,2000197975,False,False
26,2000205894,False,False
27,2000213813,False,False
28,2000221732,False,False
29,2000229651,False,False
30,2000237570,False,False
31,2000245489,False,False
32,2000253408,False,False
33,2000261327,False,False
34,2000269246,False,False
35,2000277165,False,False
36,2000285084,False,False
37,2000293003,False,False
38,2000300922,False,False
39,2000308841,False,False
40,2000316760,False,False
41,2000324679,False,False
42,2000332598,False,False
43,2000340517,False,False
44,2000348436,False,False
45,2000356355,False,False
46,2000364274,False,False
47,2000372193,False,False
48,2000380112,False,False
49,2000388031,False,False
