fault,n,failure_rate,auroc_fo,auroc_iso,auroc_M10_STANDARD_PLUS_FO_BSTAR,auroc_M9_STANDARD_FULL
1,6000,0.0006666666666666666,0.9395221814543029,0.9406270847231488,0.9606404269513008,0.9506754503002001
2,6000,0.0,,,,
3,6000,0.5411666666666667,0.9762783070259272,0.9828857641762925,0.975063740415445,0.9785801328136475
4,6000,0.45216666666666666,0.9333468720560427,0.9226491878840917,0.9220056313162094,0.9240395795699553
5,6000,0.011,0.7104819683181666,0.735586399893781,0.7390921346937525,0.7677023010693386
6,6000,0.0,,,,
7,6000,0.003,0.8257039637430811,0.9208923065492776,0.922536126899216,0.8972658716891414
8,6000,0.034833333333333334,0.7154679881915429,0.7151122968407503,0.7694392965821408,0.759054431104527
9,6000,0.7296666666666667,0.647131943767712,0.696942846730007,0.7174365268783104,0.7215909442966429
10,6000,0.2733333333333333,0.6003734056835981,0.5735315506824793,0.5684184101588723,0.5709342134705752
11,6000,0.35283333333333333,0.858445258336333,0.8900180297314787,0.905698580017228,0.9117001777669969
12,6000,0.057666666666666665,0.5405649179771445,0.337577775006083,0.8082190520394789,0.8364521715660916
13,6000,0.04,0.5660337094907407,0.6430989583333333,0.7575998263888889,0.7617230902777777
14,6000,0.317,0.9455498540233266,0.8916304739969588,0.9621703849791567,0.9617949870650658
15,6000,0.5205,0.811702416206087,0.7395577521368977,0.811164345041793,0.8151251142058689
16,6000,0.27466666666666667,0.6881331482456454,0.6429543051292119,0.693882931851442,0.6807152330364792
17,6000,0.1105,0.8362717826064716,0.8687313670946246,0.8625710095802348,0.8819129156397285
18,6000,0.06366666666666666,0.7054878298811411,0.6809530510569057,0.6738680270409808,0.6938486801026618
19,6000,0.25366666666666665,0.7281434743899067,0.8668725889573146,0.8469332329349678,0.8454858003414562
20,6000,0.06883333333333333,0.8816543159903807,0.9364297350603332,0.9150570482931016,0.933269943933318
21,6000,0.8156666666666667,0.5004662128258317,0.7828708216356745,0.759832684373455,0.7534196946329084
