variable,frac_instances_entirely_missing
QBS,1.0
P-MON-SDV-P,1.0
P-JUS-BS,1.0
PT-P,1.0
P-MON-CKGL,0.9961904761904762
P-JUS-CKP,0.9809523809523809
T-MON-CKP,0.9733333333333334
ESTADO-DHSV,0.6780952380952381
ABER-CKGL,0.6361904761904762
ESTADO-M1,0.6209523809523809
ESTADO-M2,0.6152380952380953
ABER-CKP,0.6133333333333333
ESTADO-PXO,0.6114285714285714
ESTADO-XO,0.6095238095238096
ESTADO-W2,0.6095238095238096
QGL,0.6
ESTADO-W1,0.5123809523809524
T-JUS-CKP,0.5028571428571429
ESTADO-SDV-GL,0.4838095238095238
P-JUS-CKGL,0.3485714285714286
T-PDG,0.3485714285714286
ESTADO-SDV-P,0.34285714285714286
P-PDG,0.29333333333333333
P-ANULAR,0.26285714285714284
P-MON-CKP,0.24952380952380954
P-TPT,0.19428571428571428
T-TPT,0.05142857142857143
