path,file,event_type,source,well,n_obs,step_seconds,duration_s,leading_unlabelled,n_unlabelled,onset_pos,pre_event_labelled_normal,pre_event_total,has_transient,labels,n_vars_all_nan,vars_all_nan,n_vars_partial_nan
dataset/0/WELL-00001_20170201010207.parquet,WELL-00001_20170201010207.parquet,0,REAL,WELL-00001,21474,1.0,21473.0,3600,3600,-1,0,21474,False,{'0': 17874},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170201060114.parquet,WELL-00001_20170201060114.parquet,0,REAL,WELL-00001,21527,1.0,21526.0,3600,3600,-1,0,21527,False,{'0': 17927},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170201110124.parquet,WELL-00001_20170201110124.parquet,0,REAL,WELL-00001,21517,1.0,21516.0,3600,3600,-1,0,21517,False,{'0': 17917},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170201160311.parquet,WELL-00001_20170201160311.parquet,0,REAL,WELL-00001,21410,1.0,21409.0,3600,3600,-1,0,21410,False,{'0': 17810},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170201210228.parquet,WELL-00001_20170201210228.parquet,0,REAL,WELL-00001,21453,1.0,21452.0,3600,3600,-1,0,21453,False,{'0': 17853},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170202020343.parquet,WELL-00001_20170202020343.parquet,0,REAL,WELL-00001,21378,1.0,21377.0,3600,3600,-1,0,21378,False,{'0': 17778},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170202070239.parquet,WELL-00001_20170202070239.parquet,0,REAL,WELL-00001,21442,1.0,21441.0,3600,3600,-1,0,21442,False,{'0': 17842},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170218000146.parquet,WELL-00001_20170218000146.parquet,0,REAL,WELL-00001,21495,1.0,21494.0,3600,3600,-1,0,21495,False,{'0': 17895},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170218050218.parquet,WELL-00001_20170218050218.parquet,0,REAL,WELL-00001,21463,1.0,21462.0,3600,3600,-1,0,21463,False,{'0': 17863},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
dataset/0/WELL-00001_20170218100218.parquet,WELL-00001_20170218100218.parquet,0,REAL,WELL-00001,21463,1.0,21462.0,3600,3600,-1,0,21463,False,{'0': 17863},9,"['ABER-CKGL', 'ABER-CKP', 'P-JUS-BS', 'P-JUS-CKP', 'P-MON-CKGL', 'P-MON-SDV-P', 'PT-P', 'QBS', 'T-MON-CKP']",0
