well,event_type,n_instances
WELL-00001,1,1
WELL-00001,3,1
WELL-00001,4,36
WELL-00001,7,1
WELL-00002,1,1
WELL-00002,2,1
WELL-00002,4,112
WELL-00002,6,3
WELL-00003,2,3
WELL-00004,4,43
WELL-00004,6,3
WELL-00005,4,38
WELL-00006,1,2
WELL-00006,7,2
WELL-00007,4,10
WELL-00009,2,1
WELL-00010,2,1
WELL-00010,4,83
WELL-00010,9,5
WELL-00011,2,13
WELL-00012,2,2
WELL-00013,2,1
WELL-00014,3,31
WELL-00014,4,21
WELL-00014,9,3
WELL-00015,5,1
WELL-00015,9,1
WELL-00016,5,4
WELL-00016,9,3
WELL-00019,8,4
WELL-00020,5,6
WELL-00020,9,1
WELL-00021,7,2
WELL-00022,7,8
WELL-00023,7,4
WELL-00024,7,19
WELL-00025,8,1
WELL-00026,8,3
WELL-00027,8,1
WELL-00028,8,1
WELL-00029,8,1
WELL-00030,8,1
WELL-00031,8,1
WELL-00032,8,1
WELL-00033,9,6
WELL-00034,9,6
WELL-00035,9,6
WELL-00036,9,3
WELL-00037,9,4
WELL-00038,9,2
WELL-00039,9,2
WELL-00040,9,1
WELL-00041,9,9
WELL-00042,9,5
