,n_cycles
100|100|0|90,230
3|100|0|130,221
20|100|0|90,221
3|100|0|115,21
3|100|0|100,21
3|100|0|90,21
20|100|0|130,21
20|100|0|115,21
20|100|0|100,21
100|100|0|130,21
100|100|0|115,21
100|100|0|100,21
3|100|2|130,11
3|100|1|130,11
3|100|2|115,11
3|100|1|115,11
3|100|2|100,11
3|100|1|100,11
3|100|2|90,11
3|100|1|90,11
20|100|2|130,11
20|100|1|130,11
20|100|2|115,11
20|100|1|115,11
20|100|2|100,11
20|100|1|100,11
20|100|2|90,11
20|100|1|90,11
100|100|2|130,11
100|100|1|130,11
100|100|2|115,11
100|100|1|115,11
100|100|2|100,11
100|100|1|100,11
100|100|2|90,11
100|100|1|90,11
3|73|2|130,10
3|80|2|130,10
3|90|2|130,10
3|73|1|130,10
3|80|1|130,10
3|90|1|130,10
3|73|0|130,10
3|80|0|130,10
3|90|0|130,10
3|73|2|115,10
3|80|2|115,10
3|90|2|115,10
3|73|1|115,10
3|80|1|115,10
3|90|1|115,10
3|73|0|115,10
3|80|0|115,10
3|90|0|115,10
3|73|2|100,10
3|80|2|100,10
3|90|2|100,10
3|73|1|100,10
3|80|1|100,10
3|90|1|100,10
3|73|0|100,10
3|80|0|100,10
3|90|0|100,10
3|73|2|90,10
3|80|2|90,10
3|90|2|90,10
3|73|1|90,10
3|80|1|90,10
3|90|1|90,10
3|73|0|90,10
3|80|0|90,10
3|90|0|90,10
20|73|2|130,10
20|80|2|130,10
20|90|2|130,10
20|73|1|130,10
20|80|1|130,10
20|90|1|130,10
20|73|0|130,10
20|80|0|130,10
20|90|0|130,10
20|73|2|115,10
20|80|2|115,10
20|90|2|115,10
20|73|1|115,10
20|80|1|115,10
20|90|1|115,10
20|73|0|115,10
20|80|0|115,10
20|90|0|115,10
20|73|2|100,10
20|80|2|100,10
20|90|2|100,10
20|73|1|100,10
20|80|1|100,10
20|90|1|100,10
20|73|0|100,10
20|80|0|100,10
20|90|0|100,10
20|73|2|90,10
20|80|2|90,10
20|90|2|90,10
20|73|1|90,10
20|80|1|90,10
20|90|1|90,10
20|73|0|90,10
20|80|0|90,10
20|90|0|90,10
100|73|2|130,10
100|80|2|130,10
100|90|2|130,10
100|73|1|130,10
100|80|1|130,10
100|90|1|130,10
100|73|0|130,10
100|80|0|130,10
100|90|0|130,10
100|73|2|115,10
100|80|2|115,10
100|90|2|115,10
100|73|1|115,10
100|80|1|115,10
100|90|1|115,10
100|73|0|115,10
100|80|0|115,10
100|90|0|115,10
100|73|2|100,10
100|80|2|100,10
100|90|2|100,10
100|73|1|100,10
100|80|1|100,10
100|90|1|100,10
100|73|0|100,10
100|80|0|100,10
100|90|0|100,10
100|73|2|90,10
100|80|2|90,10
100|90|2|90,10
100|73|1|90,10
100|80|1|90,10
100|90|1|90,10
100|73|0|90,10
100|80|0|90,10
100|90|0|90,10
