sensor,shape,expected_cols,cols_ok,rows_ok,n_nan,n_inf,min,max
PS1,"[2205, 6000]",6000,True,True,0,0,133.13,191.92
PS2,"[2205, 6000]",6000,True,True,0,0,0.0,167.77
PS3,"[2205, 6000]",6000,True,True,0,0,0.0,18.828
PS4,"[2205, 6000]",6000,True,True,0,0,0.0,10.266
PS5,"[2205, 6000]",6000,True,True,0,0,8.318,10.041
PS6,"[2205, 6000]",6000,True,True,0,0,8.268,9.91
EPS1,"[2205, 6000]",6000,True,True,0,0,2097.8,2995.2
FS1,"[2205, 600]",600,True,True,0,0,0.0,20.479
FS2,"[2205, 600]",600,True,True,0,0,8.764,10.453
TS1,"[2205, 60]",60,True,True,0,0,34.984,58.207
TS2,"[2205, 60]",60,True,True,0,0,40.707,62.176
TS3,"[2205, 60]",60,True,True,0,0,38.145,59.539
TS4,"[2205, 60]",60,True,True,0,0,30.355,53.145
VS1,"[2205, 60]",60,True,True,0,0,0.483,2.546
SE,"[2205, 60]",60,True,True,0,0,0.0,100.6
CE,"[2205, 60]",60,True,True,0,0,17.042,48.777
CP,"[2205, 60]",60,True,True,0,0,1.016,2.909
