sensor,n_blocks,median_R2_linear_drift,frac_blocks_R2_gt_0.5,median_within_block_sd,median_detrended_sd,variance_share_removed_by_detrending
PS1,144,0.18730804661632072,0.2361111111111111,0.015925473994421117,0.012187287868647607,0.41436179010509344
PS2,144,0.14081237586057227,0.14583333333333334,0.018718738633798457,0.016321273889040144,0.23975259773578084
PS3,144,0.1132353976927705,0.09722222222222222,0.005746803708782203,0.004970157358277504,0.2520241925954968
PS4,144,,0.16666666666666666,0.003562489562704045,0.0026170639077656675,0.4603384767077301
PS5,144,0.4895358603530211,0.4930555555555556,0.004095557244147285,0.0024999501096642177,0.6274052918183255
PS6,144,0.4696642370628129,0.4236111111111111,0.003928384315556918,0.002459683108643365,0.6079599999240206
EPS1,144,0.20361149408341706,0.2916666666666667,1.9198948610732263,1.4796665791410155,0.4060186119159478
FS1,144,0.14463562339491454,0.14583333333333334,0.0049138226293932614,0.0040714816969868155,0.31345972198570893
FS2,144,0.3312778208581819,0.3888888888888889,0.0036497342500069647,0.0026008106736805947,0.4921973166482907
TS1,144,0.7129401901838341,0.6666666666666666,0.028773446266482212,0.014186458154995068,0.7569116198206354
TS2,144,0.7133444765755317,0.625,0.024068339597835522,0.009542247688811347,0.8428157202180577
TS3,144,0.6847480762419658,0.6319444444444444,0.02443131376715766,0.014314105118542642,0.6567308601259354
TS4,144,0.43789091824914744,0.4305555555555556,0.03864940784600224,0.026583360418373263,0.5269205642097974
VS1,144,0.14767850984305314,0.11805555555555555,0.004600753070155318,0.003960418509588658,0.2589895818141781
SE,144,0.16408491394564284,0.0763888888888889,0.0878621429668334,0.0736261054758804,0.2978012141223265
CE,144,0.15296268418904208,0.14583333333333334,0.13661170250766233,0.12016676547355724,0.2262637657648604
CP,144,0.13663026478247065,0.16666666666666666,0.008198825588827879,0.006940321718907465,0.2834344754377398
