condition,family,target,split,n,n_sensors,balanced_accuracy,macro_f1,auroc_ovr_macro,log_loss,brier
baseline,baseline,valve,train,849,17,1.0,1.0,1.0,0.057409436941317914,0.007964786808009423
baseline,baseline,valve,valid,240,17,0.5666666666666667,0.5197950709193895,0.8065393518518519,0.9556739407977362,0.5466982666666668
baseline,baseline,valve,test,360,17,0.6527777777777778,0.6389958107329851,0.8806378600823045,0.8055699620315775,0.4613286444444444
baseline,baseline,pump,train,849,17,1.0,1.0,1.0,0.007069846220734957,0.0009103698468786811
baseline,baseline,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.0875411606218426,0.034240933333333334
baseline,baseline,pump,test,360,17,0.9972222222222222,0.9972221739960764,1.0,0.05085629285697747,0.0168742
drop_PS1,drop_one,valve,train,849,16,1.0,1.0,1.0,0.06697343774087414,0.009832603062426384
drop_PS1,drop_one,valve,valid,240,16,0.5541666666666667,0.5246846624032788,0.7579745370370371,1.063766288384432,0.5927318333333333
drop_PS1,drop_one,valve,test,360,16,0.5972222222222222,0.5785269581401478,0.8490432098765432,0.8875554384688611,0.5131609777777778
drop_PS1,drop_one,pump,train,849,16,1.0,1.0,1.0,0.007421903391434327,0.0009628362779740872
drop_PS1,drop_one,pump,valid,240,16,0.9916666666666667,0.991691901545151,0.9995703125,0.094984001639179,0.03717823333333333
drop_PS1,drop_one,pump,test,360,16,0.9944444444444445,0.9944557787844209,1.0,0.05549477817431152,0.019017866666666668
drop_PS2,drop_one,valve,train,849,16,1.0,1.0,1.0,0.07692363284837044,0.012448433451118962
drop_PS2,drop_one,valve,valid,240,16,0.4541666666666667,0.4292058855349995,0.6767245370370372,1.2793433986312186,0.6992891333333334
drop_PS2,drop_one,valve,test,360,16,0.4833333333333334,0.45756420584428104,0.7538837448559672,1.1299630754875987,0.6389817555555556
drop_PS2,drop_one,pump,train,849,16,1.0,1.0,1.0,0.007403450691141538,0.0010062756183745582
drop_PS2,drop_one,pump,valid,240,16,0.9958333333333332,0.9958331705665585,0.9997395833333332,0.08850606170768484,0.03363103333333333
drop_PS2,drop_one,pump,test,360,16,0.9916666666666667,0.9916889530749021,1.0,0.05500895209022219,0.018949622222222226
drop_PS3,drop_one,valve,train,849,16,1.0,1.0,1.0,0.05762487751463649,0.008058930506478209
drop_PS3,drop_one,valve,valid,240,16,0.5791666666666666,0.5338165293535774,0.8093171296296297,0.959911123605193,0.5432713
drop_PS3,drop_one,valve,test,360,16,0.6583333333333334,0.6464675977380152,0.8895010288065843,0.784974864169547,0.45080859999999995
drop_PS3,drop_one,pump,train,849,16,1.0,1.0,1.0,0.0072426240212580895,0.0009254746760895173
drop_PS3,drop_one,pump,valid,240,16,0.9958333333333332,0.9958331705665585,0.9999609375,0.09121234436101157,0.03496096666666667
drop_PS3,drop_one,pump,test,360,16,0.9944444444444445,0.9944557787844209,1.0,0.054483453932532656,0.01838382222222222
drop_PS4,drop_one,valve,train,849,16,1.0,1.0,1.0,0.057586824286208975,0.007943330977620731
drop_PS4,drop_one,valve,valid,240,16,0.5666666666666667,0.5227102186604236,0.8035648148148148,0.9718722004957153,0.5538024333333332
drop_PS4,drop_one,valve,test,360,16,0.6583333333333332,0.6465063206909735,0.8857613168724281,0.7897394106020589,0.4520034444444445
drop_PS4,drop_one,pump,train,849,16,1.0,1.0,1.0,0.007236352426584896,0.0009221672555948177
drop_PS4,drop_one,pump,valid,240,16,0.9958333333333332,0.9958331705665585,0.9997916666666665,0.09362755152795595,0.03651233333333334
drop_PS4,drop_one,pump,test,360,16,0.9972222222222222,0.9972221739960764,1.0,0.05421999187042841,0.01891408888888889
drop_PS5,drop_one,valve,train,849,16,1.0,1.0,1.0,0.05708673861489891,0.008029239104829212
