condition,target,true,pred,n
baseline,valve,73,73,85
baseline,valve,73,80,5
baseline,valve,73,90,0
baseline,valve,73,100,0
baseline,valve,80,73,7
baseline,valve,80,80,72
baseline,valve,80,90,11
baseline,valve,80,100,0
baseline,valve,90,73,2
baseline,valve,90,80,24
baseline,valve,90,90,29
baseline,valve,90,100,35
baseline,valve,100,73,2
baseline,valve,100,80,12
baseline,valve,100,90,27
baseline,valve,100,100,49
baseline,pump,0,0,119
baseline,pump,0,1,0
baseline,pump,0,2,1
baseline,pump,1,0,0
baseline,pump,1,1,120
baseline,pump,1,2,0
baseline,pump,2,0,0
baseline,pump,2,1,0
baseline,pump,2,2,120
drop_PS1,valve,73,73,85
drop_PS1,valve,73,80,5
drop_PS1,valve,73,90,0
drop_PS1,valve,73,100,0
drop_PS1,valve,80,73,11
drop_PS1,valve,80,80,66
drop_PS1,valve,80,90,13
drop_PS1,valve,80,100,0
drop_PS1,valve,90,73,3
drop_PS1,valve,90,80,33
drop_PS1,valve,90,90,21
drop_PS1,valve,90,100,33
drop_PS1,valve,100,73,1
drop_PS1,valve,100,80,16
drop_PS1,valve,100,90,30
drop_PS1,valve,100,100,43
drop_PS1,pump,0,0,119
drop_PS1,pump,0,1,0
drop_PS1,pump,0,2,1
drop_PS1,pump,1,0,0
drop_PS1,pump,1,1,119
drop_PS1,pump,1,2,1
drop_PS1,pump,2,0,0
drop_PS1,pump,2,1,0
drop_PS1,pump,2,2,120
drop_PS2,valve,73,73,77
drop_PS2,valve,73,80,12
drop_PS2,valve,73,90,0
drop_PS2,valve,73,100,1
drop_PS2,valve,80,73,19
drop_PS2,valve,80,80,55
drop_PS2,valve,80,90,16
drop_PS2,valve,80,100,0
drop_PS2,valve,90,73,2
drop_PS2,valve,90,80,36
drop_PS2,valve,90,90,5
drop_PS2,valve,90,100,47
drop_PS2,valve,100,73,2
drop_PS2,valve,100,80,15
drop_PS2,valve,100,90,36
drop_PS2,valve,100,100,37
drop_PS2,pump,0,0,119
drop_PS2,pump,0,1,0
drop_PS2,pump,0,2,1
drop_PS2,pump,1,0,0
drop_PS2,pump,1,1,118
drop_PS2,pump,1,2,2
drop_PS2,pump,2,0,0
drop_PS2,pump,2,1,0
drop_PS2,pump,2,2,120
drop_PS3,valve,73,73,82
drop_PS3,valve,73,80,8
drop_PS3,valve,73,90,0
drop_PS3,valve,73,100,0
drop_PS3,valve,80,73,6
drop_PS3,valve,80,80,73
drop_PS3,valve,80,90,11
drop_PS3,valve,80,100,0
drop_PS3,valve,90,73,3
drop_PS3,valve,90,80,23
drop_PS3,valve,90,90,31
drop_PS3,valve,90,100,33
drop_PS3,valve,100,73,1
drop_PS3,valve,100,80,15
drop_PS3,valve,100,90,23
drop_PS3,valve,100,100,51
drop_PS3,pump,0,0,119
drop_PS3,pump,0,1,0
drop_PS3,pump,0,2,1
drop_PS3,pump,1,0,0
drop_PS3,pump,1,1,119
drop_PS3,pump,1,2,1
drop_PS3,pump,2,0,0
drop_PS3,pump,2,1,0
drop_PS3,pump,2,2,120
drop_PS4,valve,73,73,85
drop_PS4,valve,73,80,5
drop_PS4,valve,73,90,0
drop_PS4,valve,73,100,0
drop_PS4,valve,80,73,11
drop_PS4,valve,80,80,68
drop_PS4,valve,80,90,11
drop_PS4,valve,80,100,0
drop_PS4,valve,90,73,3
drop_PS4,valve,90,80,22
drop_PS4,valve,90,90,33
drop_PS4,valve,90,100,32
drop_PS4,valve,100,73,2
drop_PS4,valve,100,80,11
drop_PS4,valve,100,90,26
