contrast,delta_auroc,ci_low,ci_high,delta_brier,brier_ci_low,brier_ci_high,verdict
R1-R0,0.03364448999092229,-0.0900671741154615,0.15721480763415532,-0.004689896485407796,-0.009601619956007803,-0.000189245862295836,NO
R2-R0,0.3215792037730326,0.2585878874823907,0.37601122933081305,-0.02997183983983448,-0.04598550177772409,-0.017033964352083954,YES
R3-R0,0.1171501660677794,0.054644906470097974,0.17646315719967412,-0.0037387348910845053,-0.00488305792969877,-0.0023272702816863177,YES
R7-R0,0.29438474838794404,0.23826169912749937,0.3467392627309112,-0.027972830491372946,-0.04189699235066318,-0.016346346398863537,YES
R7-R2,-0.02719445538508858,-0.05792508684480403,0.0026598954058246922,0.0019990093484615334,-0.0032450034472391006,0.007876718816825503,NO
R7-R4,0.0065616568744388815,-0.0029243185184712694,0.017090764524799396,0.00033285516131842385,-0.0010578806661243668,0.0016130670085492415,NO
R7-R2,-0.02719445538508858,-0.05792508684480403,0.0026598954058246922,0.0019990093484615334,-0.0032450034472391006,0.007876718816825503,NO
R7-R1,0.26074025839702175,0.129947515310544,0.4032284580629715,-0.02328293400596515,-0.03750851830794396,-0.01248300565411943,YES
R7-R2,-0.02719445538508858,-0.05792508684480403,0.0026598954058246922,0.0019990093484615334,-0.0032450034472391006,0.007876718816825503,NO
R7-R3,0.17723458232016465,0.09003170973230416,0.25491361357964604,-0.02423409560028844,-0.03870799204140956,-0.012163535354443079,YES
