family,model,n,base_rate,auroc
baseline,R0,720,0.175,0.5
baseline,R1,720,0.175,0.4580193469082358
baseline,R2,720,0.175,0.8417909251242585
baseline,R3,720,0.175,0.588023088023088
baseline,R4,720,0.175,0.7916867083533751
baseline,R5,720,0.175,0.4968467746245524
baseline,R6,720,0.175,0.8463203463203464
baseline,R7,720,0.175,0.8033242477686923
bias,R0,3600,0.175,0.5
bias,R1,3600,0.175,0.4580193469082358
bias,R2,3600,0.175,0.8417909251242585
bias,R3,3600,0.175,0.588023088023088
bias,R4,3600,0.175,0.7916867083533751
bias,R5,3600,0.175,0.4968467746245524
bias,R6,3600,0.175,0.8463203463203464
bias,R7,3600,0.175,0.8033242477686923
downsample,R0,2160,0.07916666666666666,0.5
downsample,R1,2160,0.07916666666666666,0.5148815561612259
downsample,R2,2160,0.07916666666666666,0.7363922627080521
downsample,R3,2160,0.07916666666666666,0.6241785963148192
downsample,R4,2160,0.07916666666666666,0.7030745121560396
downsample,R5,2160,0.07916666666666666,0.5762835948594462
downsample,R6,2160,0.07916666666666666,0.7505461323830777
downsample,R7,2160,0.07916666666666666,0.7124006597690808
drift,R0,3600,0.16972222222222222,0.5
drift,R1,3600,0.16972222222222222,0.471784979184451
drift,R2,3600,0.16972222222222222,0.8350263021148466
drift,R3,3600,0.16972222222222222,0.5657333846580944
drift,R4,3600,0.16972222222222222,0.7855738361991788
drift,R5,3600,0.16972222222222222,0.5007865720407452
drift,R6,3600,0.16972222222222222,0.839497689016848
drift,R7,3600,0.16972222222222222,0.7959561490878447
drop_group,R0,2880,0.2204861111111111,0.44015046560159937
drop_group,R1,2880,0.2204861111111111,0.48098556722725916
drop_group,R2,2880,0.2204861111111111,0.8091338582677166
drop_group,R3,2880,0.2204861111111111,0.5293646423373025
drop_group,R4,2880,0.2204861111111111,0.7735678585833786
drop_group,R5,2880,0.2204861111111111,0.4751324903986111
drop_group,R6,2880,0.2204861111111111,0.8127197797380005
drop_group,R7,2880,0.2204861111111111,0.7786212580888413
drop_one,R0,12240,0.18676470588235294,0.5
drop_one,R1,12240,0.18676470588235294,0.4698293690785136
drop_one,R2,12240,0.18676470588235294,0.8335046814647465
drop_one,R3,12240,0.18676470588235294,0.5682058730000522
drop_one,R4,12240,0.18676470588235294,0.7877216824690163
drop_one,R5,12240,0.18676470588235294,0.4929134649308077
drop_one,R6,12240,0.18676470588235294,0.8382758853455554
drop_one,R7,12240,0.18676470588235294,0.7976896259978754
noise,R0,2160,0.6064814814814815,0.5
noise,R1,2160,0.6064814814814815,0.47744858554108666
noise,R2,2160,0.6064814814814815,0.8736910642119443
noise,R3,2160,0.6064814814814815,0.5068540637629098
noise,R4,2160,0.6064814814814815,0.8734665469241132
noise,R5,2160,0.6064814814814815,0.48292770543331837
noise,R6,2160,0.6064814814814815,0.8836587337224966
noise,R7,2160,0.6064814814814815,0.8843610237988325
