model,n_features,auroc,auprc,brier,log_loss,calibration_slope,base_rate,n,target
R0,1,0.4899184154801726,0.40363253173199526,0.32816062997510737,0.9799509280595953,0.15680729957076733,0.3973684210526316,13680,valve
R1,3,0.5504458568481049,0.5026711037397014,0.3132163917844741,0.9584175995022027,0.23324252198264975,0.3973684210526316,13680,valve
R2,3,0.6614543446586256,0.5289270811915322,0.3000789907769393,0.9081620115970807,0.568340761149374,0.3973684210526316,13680,valve
R3,3,0.632569199210682,0.6049192518069988,0.3223950769208511,0.965607406786543,2.200254539006433,0.3973684210526316,13680,valve
R4,6,0.5571121763048221,0.45782244166642794,0.3050407755545509,0.9507089008397464,0.23639642700624613,0.3973684210526316,13680,valve
R5,6,0.5807536258894019,0.5948995202634487,0.3130129040385257,0.9641378878173202,0.4383661524470573,0.3973684210526316,13680,valve
R6,6,0.6686040357042506,0.5521928296380574,0.29862926720789174,0.9127273677843565,0.6291611140678038,0.3973684210526316,13680,valve
R7,9,0.5765489044767412,0.4855644313029327,0.303362377032522,0.9537644061260027,0.27992956362735993,0.3973684210526316,13680,valve
R0,1,0.7329909140428358,0.04698035951044377,0.02393492480648471,0.12310651207632442,1.2179313447781652,0.024342105263157894,13680,pump
R1,3,0.8967810246749334,0.11834847516797298,0.023448266059778414,0.1065235768809107,1.036231733378961,0.024342105263157894,13680,pump
R2,3,0.9656941724822148,0.2965325954999219,0.02223130992203739,0.07961758118501554,1.1414165876333682,0.024342105263157894,13680,pump
R3,3,0.9550951265943399,0.28194264849670725,0.022097534240970492,0.08643571112104266,1.1877070186297243,0.024342105263157894,13680,pump
R4,6,0.9662328095683906,0.29558249351519195,0.02222294707689185,0.07965511809127854,1.1442369744077805,0.024342105263157894,13680,pump
R5,6,0.9682377365002675,0.2988071432534124,0.021442210889997575,0.0728668518636388,1.234507708750408,0.024342105263157894,13680,pump
R6,6,0.9759714760838609,0.41483051401918714,0.02071597342240997,0.0681007922043767,1.5215434836330681,0.024342105263157894,13680,pump
R7,9,0.9753405912093257,0.4037496481711723,0.020567397342787327,0.06756012045291036,1.3655805395074583,0.024342105263157894,13680,pump
