cooler,valve,pump,acc,stable,cfg,split
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,73,2,130,0,3|73|2|130,train
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,80,2,130,0,3|80|2|130,valid
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,90,2,130,0,3|90|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,100,2,130,0,3|100|2|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,73,1,130,0,3|73|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,80,1,130,0,3|80|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,90,1,130,0,3|90|1|130,train
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,100,1,130,0,3|100|1|130,valid
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,73,0,130,0,3|73|0|130,test
3,80,0,130,0,3|80|0|130,train
3,80,0,130,0,3|80|0|130,train
