dataset,model,contrast,delta_auroc,ci_low,ci_high,excludes_zero
SECOM,M1_logreg,ISO_FIT - B1_max_prob,-0.09267999656740755,-0.17332366995710125,-0.015872365167450064,True
SECOM,M1_logreg,ISO_FIT - B1_max_prob,-0.09267999656740755,-0.17332366995710125,-0.015872365167450064,True
SECOM,M1_logreg,COMBO_best_plus_iso - B1_max_prob,-0.03175148030550068,-0.08287677459254396,0.021357136498893616,False
SECOM,M1_logreg,ISO_FROZEN_ORACLE - B1_max_prob,0.16527932721187677,0.07598941708697807,0.2625194960525185,True
SECOM,M2_rbf_svm,ISO_FIT - B1_max_prob,-0.015927189988623414,-0.0972740950273446,0.0647995189066618,False
SECOM,M2_rbf_svm,ISO_FIT - B1_max_prob,-0.015927189988623414,-0.0972740950273446,0.0647995189066618,False
SECOM,M2_rbf_svm,COMBO_best_plus_iso - B1_max_prob,-0.028928977734438477,-0.07903947840805452,0.011456617379582387,False
SECOM,M2_rbf_svm,ISO_FROZEN_ORACLE - B1_max_prob,-0.020152771006013315,-0.22604117823600028,0.17317657794607558,False
SECOM,M3_random_forest,ISO_FIT - B1_max_prob,-0.04339346660165777,-0.21569551823458077,0.1313984085737628,False
SECOM,M3_random_forest,ISO_FIT - B1_max_prob,-0.04339346660165777,-0.21569551823458077,0.1313984085737628,False
SECOM,M3_random_forest,COMBO_best_plus_iso - B1_max_prob,-0.023890784982935176,-0.051384266128395986,-0.0031653373026241495,True
SECOM,M3_random_forest,ISO_FROZEN_ORACLE - B1_max_prob,-0.0068259385665528916,-0.237732408125522,0.2305471574891216,False
SECOM,M4_hist_gradient_boosting,ISO_FIT - B1_max_prob,-0.06435884934178449,-0.2015738106139892,0.07248766241879047,False
SECOM,M4_hist_gradient_boosting,ISO_FIT - B1_max_prob,-0.06435884934178449,-0.2015738106139892,0.07248766241879047,False
SECOM,M4_hist_gradient_boosting,COMBO_best_plus_iso - B1_max_prob,-0.025678530797984656,-0.13310591619391143,0.08242913171792467,False
SECOM,M4_hist_gradient_boosting,ISO_FROZEN_ORACLE - B1_max_prob,-0.027791321306679606,-0.24852510970258418,0.1955705705705706,False
STEEL,M1_logreg,ISO_FIT - B1_max_prob,-0.041272453037158874,-0.08949155451698895,0.007531181426555107,False
STEEL,M1_logreg,ISO_FIT - B1_max_prob,-0.041272453037158874,-0.08949155451698895,0.007531181426555107,False
