dataset,model,score,auroc,auprc,aurc,auroc_calib
SECOM,M1_logreg,B1_max_prob,0.7588603793014674,0.3461875374943623,0.06445585003936963,0.7337128399746996
SECOM,M1_logreg,B2_entropy,0.7588603793014674,0.3461875374943623,0.06445585003936963,0.7337128399746996
SECOM,M1_logreg,B3_margin,0.7588603793014674,0.3461875374943623,0.06445585003936963,0.7337128399746996
SECOM,M1_logreg,B4_knn_dist,0.6066249034583369,0.2139707591604002,0.1070430452872985,0.58191018342821
SECOM,M1_logreg,B5_mahalanobis,0.5885179782030379,0.1970328426097469,0.1126938020822745,0.5781151170145478
SECOM,M1_logreg,B6_conformal_aps,0.5018450184501845,0.13738019169329074,0.22524772379420435,0.4852941176470588
SECOM,M1_logreg,ISO_FIT,0.6661803827340599,0.2410084497626928,0.08421816471174805,0.7079907231709889
SECOM,M1_logreg,ISO_RAW,0.5589118681884493,0.21307968357416024,0.14121107905096467,0.5979337971747839
SECOM,M1_logreg,ISO_FROZEN_ORACLE,0.9241397065133442,0.6589528282849683,0.021996137675259694,0.948134092346616
SECOM,M1_logreg,COMBO_best_plus_iso,0.7271088989959668,0.3016123139004137,0.07086319851242828,
SECOM,M2_rbf_svm,B1_max_prob,0.7302129042743377,0.1441061749955947,0.025949711744484637,0.7311777569509528
SECOM,M2_rbf_svm,B2_entropy,0.7302129042743377,0.1441061749955947,0.025949711744484637,0.7311777569509528
SECOM,M2_rbf_svm,B3_margin,0.7302129042743377,0.1441061749955947,0.025949711744484637,0.7311777569509528
SECOM,M2_rbf_svm,B4_knn_dist,0.5767918088737202,0.11673211445384514,0.05284070127167962,0.6360512339893784
SECOM,M2_rbf_svm,B5_mahalanobis,0.5397367137981472,0.10767886449333734,0.06934533327588248,0.6385504529834427
SECOM,M2_rbf_svm,B6_conformal_aps,0.5034129692832765,0.0673076923076923,0.10326165493219486,0.5137457044673539
SECOM,M2_rbf_svm,ISO_FIT,0.7142857142857143,0.19147452597745124,0.02823325474531862,0.6441736957200874
SECOM,M2_rbf_svm,ISO_RAW,0.5990573703884284,0.17972080011479158,0.055191194057747035,0.5357700718525461
SECOM,M2_rbf_svm,ISO_FROZEN_ORACLE,0.7100601332683244,0.27151658109610044,0.03700967531802893,0.7046235551390191
SECOM,M2_rbf_svm,COMBO_best_plus_iso,0.7012839265398992,0.13740370474555166,0.029685337771198764,
SECOM,M3_random_forest,B1_max_prob,0.7103851779619698,0.1782314615829654,0.03695767324293771,0.74779843444227
SECOM,M3_random_forest,B2_entropy,0.7103851779619698,0.1782314615829654,0.03695767324293771,0.74779843444227
SECOM,M3_random_forest,B3_margin,0.7103851779619698,0.1782314615829654,0.03695767324293771,0.74779843444227
SECOM,M3_random_forest,B4_knn_dist,0.5767918088737202,0.11673211445384514,0.05284070127167962,0.6172537508153947
SECOM,M3_random_forest,B5_mahalanobis,0.5397367137981472,0.10767886449333734,0.06934533327588248,0.6198630136986302
SECOM,M3_random_forest,B6_conformal_aps,0.5017877458150496,0.06710289809935002,0.09904605943009175,0.5154109589041096
SECOM,M3_random_forest,ISO_FIT,0.666991711360312,0.18880887323188067,0.03631640830498178,0.6436725375081539
SECOM,M3_random_forest,ISO_RAW,0.5990573703884284,0.17972080011479158,0.055191194057747035,0.5624592302674495
SECOM,M3_random_forest,ISO_FROZEN_ORACLE,0.7035592393954169,0.2694987964353144,0.04063968231710666,0.708904109589041
SECOM,M3_random_forest,COMBO_best_plus_iso,0.6864943929790346,0.1713762858964478,0.04138422187085855,
SECOM,M4_hist_gradient_boosting,B1_max_prob,0.7305379489679831,0.21248325767363074,0.03225540047778076,0.7856655290102389
SECOM,M4_hist_gradient_boosting,B2_entropy,0.7305379489679831,0.21248325767363074,0.03225540047778076,0.7856655290102389
SECOM,M4_hist_gradient_boosting,B3_margin,0.7305379489679831,0.21248325767363074,0.03225540047778076,0.7856655290102389
SECOM,M4_hist_gradient_boosting,B4_knn_dist,0.5767918088737202,0.11673211445384514,0.05284070127167962,0.6006825938566553
SECOM,M4_hist_gradient_boosting,B5_mahalanobis,0.5397367137981472,0.10767886449333734,0.06934533327588248,0.6040955631399317
SECOM,M4_hist_gradient_boosting,B6_conformal_aps,0.5204778156996587,0.0695364238410596,0.08678733857803973,0.5170648464163823
SECOM,M4_hist_gradient_boosting,ISO_FIT,0.6661790996261986,0.1886663347612043,0.03652363492648919,0.6315699658703071
SECOM,M4_hist_gradient_boosting,ISO_RAW,0.5990573703884284,0.17972080011479158,0.055191194057747035,0.5569965870307167
SECOM,M4_hist_gradient_boosting,ISO_FROZEN_ORACLE,0.7027466276613035,0.26796653388225056,0.04167838674301373,0.7378839590443687
SECOM,M4_hist_gradient_boosting,COMBO_best_plus_iso,0.7048594181699984,0.19663363716034116,0.029707094908820408,
STEEL,M1_logreg,B1_max_prob,0.767825311942959,0.542712528300635,0.11471527359587827,0.7597636815920398
STEEL,M1_logreg,B2_entropy,0.750445632798574,0.5013572031374056,0.11893720640057277,0.7564987562189055
STEEL,M1_logreg,B3_margin,0.7530508706979295,0.47972357558403034,0.11871282107111385,0.7475746268656717
STEEL,M1_logreg,B4_knn_dist,0.6334841628959276,0.33653100170489053,0.16574512714389805,0.6546330845771144
STEEL,M1_logreg,B5_mahalanobis,0.5547442753325106,0.2921149850142175,0.19591763418386107,0.5897077114427861
