dataset,model,status,n_train,n_calib,n_test,n_errors_test,test_accuracy,n_classes,best_baseline_on_calib,best_baseline_on_test,iso_fit_auroc,iso_fit_ci_low,iso_fit_ci_high,bootstrap_unit,preprocess
SECOM,M1_logreg,OK,940,313,314,43,0.8630573248407644,2,B1_max_prob,B1_max_prob,0.6661803827340599,0.5794584263777126,0.7557543508988429,ligne,"{'n_features_kept': 474, 'n_missing_indicators': 52, 'n_features_final': 526}"
SECOM,M2_rbf_svm,OK,940,313,314,21,0.9331210191082803,2,B1_max_prob,B1_max_prob,0.7142857142857143,0.6126032282282282,0.8038710585585584,ligne,"{'n_features_kept': 474, 'n_missing_indicators': 52, 'n_features_final': 526}"
SECOM,M3_random_forest,OK,940,313,314,21,0.9331210191082803,2,B1_max_prob,B1_max_prob,0.666991711360312,0.5430482205223199,0.7777103688049796,ligne,"{'n_features_kept': 474, 'n_missing_indicators': 52, 'n_features_final': 526}"
SECOM,M4_hist_gradient_boosting,OK,940,313,314,21,0.9331210191082803,2,B1_max_prob,B1_max_prob,0.6661790996261986,0.5403511368994042,0.7776984834968778,ligne,"{'n_features_kept': 474, 'n_missing_indicators': 52, 'n_features_final': 526}"
STEEL,M1_logreg,OK,1165,388,388,102,0.7371134020618557,7,B1_max_prob,B1_max_prob,0.7265528589058001,0.6696158166930565,0.7804926580286193,ligne,"{'n_features_kept': 27, 'n_missing_indicators': 0, 'n_features_final': 27}"
STEEL,M2_rbf_svm,OK,1165,388,388,87,0.7757731958762887,7,B2_entropy,B1_max_prob,0.7521671058158629,0.6926943773818773,0.8119868169800235,ligne,"{'n_features_kept': 27, 'n_missing_indicators': 0, 'n_features_final': 27}"
STEEL,M3_random_forest,OK,1165,388,388,86,0.7783505154639175,7,B1_max_prob,B1_max_prob,0.7330201755736947,0.6727877883805676,0.7958578329583222,ligne,"{'n_features_kept': 27, 'n_missing_indicators': 0, 'n_features_final': 27}"
STEEL,M4_hist_gradient_boosting,OK,1165,388,388,79,0.7963917525773196,7,B2_entropy,B2_entropy,0.7282372700831592,0.6678860489882854,0.7917044131979614,ligne,"{'n_features_kept': 27, 'n_missing_indicators': 0, 'n_features_final': 27}"
HAR,M1_logreg,OK,5280,2072,2947,172,0.9416355615880556,6,B3_margin,B3_margin,0.8132704797821076,0.6960854587288619,0.8962428760579493,sujet,"{'n_features_kept': 561, 'n_missing_indicators': 0, 'n_features_final': 561}"
HAR,M2_rbf_svm,OK,5280,2072,2947,151,0.9487614523243977,6,B3_margin,B1_max_prob,0.8233071843409222,0.697902202080138,0.9150902571785461,sujet,"{'n_features_kept': 561, 'n_missing_indicators': 0, 'n_features_final': 561}"
HAR,M3_random_forest,OK,5280,2072,2947,239,0.9189005768578216,6,B3_margin,B3_margin,0.8519882202431351,0.7975643263593182,0.922531611133522,sujet,"{'n_features_kept': 561, 'n_missing_indicators': 0, 'n_features_final': 561}"
HAR,M4_hist_gradient_boosting,OK,5280,2072,2947,205,0.9304377332880895,6,B3_margin,B3_margin,0.8105032822757111,0.7588764454418343,0.8749535713447311,sujet,"{'n_features_kept': 561, 'n_missing_indicators': 0, 'n_features_final': 561}"
