dataset,model,hp,prob_best,auroc_calib_prob_best,confidence_weak,calib_accuracy,n_train,n_calib,n_test,n_errors_calib,n_classes,seconds_pre_test,analysis,preprocess
GAS,M1_logreg,{'C': 10.0},B3_margin,0.8465119090799178,False,0.9913700107874865,8347,2781,2782,24,6,39.8,main,"{'n_features_kept': 128, 'n_missing_indicators': 0, 'n_features_final': 128}"
GAS,M2_rbf_svm,"{'C': 10.0, 'gamma': 0.01}",B3_margin,0.8781737395719985,False,0.9913700107874865,8347,2781,2782,24,6,8.9,main,"{'n_features_kept': 128, 'n_missing_indicators': 0, 'n_features_final': 128}"
GAS,M3_random_forest,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",B1_max_prob,0.948001071980326,False,0.9917295936713413,8347,2781,2782,23,6,55.8,main,"{'n_features_kept': 128, 'n_missing_indicators': 0, 'n_features_final': 128}"
GAS,M4_hist_gradient_boosting,"{'learning_rate': 0.1, 'max_leaf_nodes': 31}",B2_entropy,0.8771821803694314,False,0.9928083423229054,8347,2781,2782,20,6,21.7,main,"{'n_features_kept': 128, 'n_missing_indicators': 0, 'n_features_final': 128}"
CREDIT,M1_logreg,{'C': 1.0},B1_max_prob,0.6564292383917284,True,0.8068333333333333,18000,6000,6000,1159,2,0.2,main,"{'n_features_kept': 23, 'n_missing_indicators': 0, 'n_features_final': 23}"
CREDIT,M2_rbf_svm,"{'C': 1.0, 'gamma': 'scale'}",B1_max_prob,0.6366507537540108,True,0.8153333333333334,18000,6000,6000,1108,2,33.1,main,"{'n_features_kept': 23, 'n_missing_indicators': 0, 'n_features_final': 23}"
CREDIT,M3_random_forest,"{'max_features': 0.3, 'min_samples_leaf': 5}",B1_max_prob,0.6969543854206074,True,0.8178333333333333,18000,6000,6000,1093,2,29.9,main,"{'n_features_kept': 23, 'n_missing_indicators': 0, 'n_features_final': 23}"
CREDIT,M4_hist_gradient_boosting,"{'learning_rate': 0.05, 'max_leaf_nodes': 31}",B1_max_prob,0.7020021624540329,False,0.8178333333333333,18000,6000,6000,1093,2,1.9,main,"{'n_features_kept': 23, 'n_missing_indicators': 0, 'n_features_final': 23}"
DRYBEAN,M1_logreg,{'C': 10.0},B1_max_prob,0.9100955794504182,False,0.9221446933529196,8167,2723,2721,212,7,0.7,main,"{'n_features_kept': 16, 'n_missing_indicators': 0, 'n_features_final': 16}"
DRYBEAN,M2_rbf_svm,"{'C': 10.0, 'gamma': 'scale'}",B3_margin,0.9074727635415069,False,0.9280205655526992,8167,2723,2721,196,7,3.1,main,"{'n_features_kept': 16, 'n_missing_indicators': 0, 'n_features_final': 16}"
DRYBEAN,M3_random_forest,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",B1_max_prob,0.9198967937302285,False,0.9221446933529196,8167,2723,2721,212,7,14.5,main,"{'n_features_kept': 16, 'n_missing_indicators': 0, 'n_features_final': 16}"
DRYBEAN,M4_hist_gradient_boosting,"{'learning_rate': 0.05, 'max_leaf_nodes': 31}",B2_entropy,0.9140585419113113,False,0.9258171134777818,8167,2723,2721,202,7,11.1,main,"{'n_features_kept': 16, 'n_missing_indicators': 0, 'n_features_final': 16}"
