dataset,model,auroc_meta_oracle,delta_vs_meta_base
GAS,M1_logreg,0.9512629925066474,0.1537194827169447
GAS,M2_rbf_svm,0.9851079672375279,0.14489947877885334
GAS,M3_random_forest,0.9790458061397148,0.013294657964708745
GAS,M4_hist_gradient_boosting,0.9523550724637682,0.046475625823451994
CREDIT,M1_logreg,0.6375011280953897,-0.013758965758529529
CREDIT,M2_rbf_svm,0.6095368923428192,-0.023569960931632772
CREDIT,M3_random_forest,0.6920553296427095,-0.011625615263287536
CREDIT,M4_hist_gradient_boosting,0.6807783990549416,-0.023266953340384644
DRYBEAN,M1_logreg,0.932826226698093,0.0244134347546604
DRYBEAN,M2_rbf_svm,0.9417039239742977,0.029580569360976527
DRYBEAN,M3_random_forest,0.9344309547692343,0.027639422134597025
DRYBEAN,M4_hist_gradient_boosting,0.9423570688446652,0.022972983268826352
