y,split
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,test
SEKER,calib
SEKER,test
SEKER,calib
SEKER,train
SEKER,test
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,calib
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,calib
SEKER,test
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,calib
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,calib
SEKER,train
SEKER,calib
SEKER,calib
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,test
SEKER,train
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,calib
SEKER,train
SEKER,calib
SEKER,test
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,calib
SEKER,calib
SEKER,calib
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,test
SEKER,test
SEKER,test
SEKER,calib
SEKER,test
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,calib
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,test
SEKER,test
SEKER,train
SEKER,calib
SEKER,calib
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,test
SEKER,calib
SEKER,calib
SEKER,calib
SEKER,calib
SEKER,train
SEKER,test
SEKER,test
SEKER,test
SEKER,calib
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,calib
SEKER,test
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,test
SEKER,test
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,calib
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,calib
SEKER,calib
SEKER,calib
SEKER,test
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,test
SEKER,test
SEKER,test
SEKER,calib
SEKER,calib
SEKER,test
SEKER,test
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,test
SEKER,train
SEKER,calib
SEKER,train
SEKER,train
SEKER,train
SEKER,train
SEKER,calib
SEKER,train
SEKER,calib
