y,split,batch
1,test,1
1,train,1
1,train,1
1,train,1
1,train,1
1,calib,1
1,train,1
1,train,1
1,train,1
1,train,1
1,calib,1
1,calib,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,calib,1
1,calib,1
1,train,1
1,train,1
1,calib,1
1,train,1
1,train,1
1,train,1
1,train,1
1,calib,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,test,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,calib,1
1,train,1
1,train,1
1,test,1
1,test,1
1,train,1
1,train,1
1,train,1
1,test,1
1,calib,1
1,test,1
1,train,1
1,calib,1
1,train,1
1,test,1
1,test,1
1,calib,1
1,train,1
1,train,1
1,test,1
1,train,1
1,test,1
1,train,1
1,train,1
1,train,1
1,train,1
1,test,1
1,calib,1
1,train,1
1,test,1
1,train,1
1,train,1
1,calib,1
1,test,1
1,test,1
1,train,1
1,test,1
1,train,1
1,train,1
1,train,1
1,train,1
1,test,1
1,train,1
1,train,1
2,train,1
2,train,1
2,train,1
2,calib,1
2,train,1
2,test,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,test,1
2,train,1
2,train,1
2,train,1
2,test,1
2,calib,1
2,calib,1
2,calib,1
2,train,1
2,train,1
2,calib,1
2,test,1
2,train,1
2,test,1
2,train,1
2,train,1
2,train,1
2,calib,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,calib,1
2,train,1
2,train,1
2,train,1
2,calib,1
2,train,1
2,calib,1
2,train,1
2,train,1
2,calib,1
2,train,1
2,train,1
2,test,1
2,train,1
2,train,1
2,test,1
2,train,1
2,train,1
2,test,1
2,train,1
2,train,1
2,calib,1
2,calib,1
2,calib,1
2,train,1
2,test,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,calib,1
2,train,1
2,calib,1
2,train,1
2,calib,1
2,train,1
2,train,1
2,train,1
2,train,1
2,test,1
2,train,1
2,train,1
2,calib,1
2,calib,1
2,calib,1
2,test,1
2,train,1
2,calib,1
2,train,1
2,train,1
2,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,test,1
3,test,1
3,calib,1
3,train,1
3,train,1
3,test,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,calib,1
3,train,1
3,test,1
3,train,1
3,train,1
3,train,1
3,test,1
3,train,1
3,train,1
3,train,1
3,test,1
3,test,1
3,train,1
3,test,1
3,calib,1
3,train,1
3,train,1
3,calib,1
3,calib,1
3,test,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,calib,1
3,train,1
3,train,1
3,train,1
3,calib,1
3,train,1
3,train,1
3,train,1
3,train,1
3,test,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,test,1
3,train,1
3,calib,1
3,train,1
3,calib,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,calib,1
3,train,1
3,test,1
3,calib,1
3,train,1
3,train,1
3,train,1
3,train,1
1,train,1
1,calib,1
1,train,1
1,test,1
1,train,1
