y,split,batch
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
1,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
2,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
3,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
4,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
5,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
6,train,1
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
4,train,2
4,train,2
4,train,2
4,train,2
6,train,2
6,train,2
6,train,2
6,train,2
6,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
2,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
1,train,2
2,train,2
2,train,2
2,train,2
2,train,2
1,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
3,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
4,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
5,train,2
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
1,train,3
