dataset,model,n_test,n_errors_test,test_accuracy,augrc_standard,augrc_iso,delta_augrc,aurc_standard,aurc_iso,delta_aurc,ec10_standard,ec10_iso,delta_error_capture_10,re10_standard,re10_iso,delta_residual_error_10,auroc_iso_pred_for_error,delta_augrc_ci_low,delta_augrc_ci_high,delta_augrc_p_raw,delta_error_capture_10_ci_low,delta_error_capture_10_ci_high,delta_error_capture_10_p_raw,delta_residual_error_10_ci_low,delta_residual_error_10_ci_high,delta_residual_error_10_p_raw,auroc_iso_ci_low,auroc_iso_ci_high,holm_rejected,holm_confirmed_gain
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,320,170,0.46875,0.262080078125,0.256591796875,0.0054882812500000044,0.5052138443784114,0.489280383587567,0.015933460790844456,0.1,0.10588235294117647,0.005882352941176464,0.53125,0.5277777777777778,0.00347222222222221,0.5487843137254902,-0.006426269531250038,0.017295166015625002,0.365,-0.011363636363636354,0.02409638554216867,0.7112,-0.00694444444444442,0.01388888888888895,0.7112,0.48527015939990625,0.6112525423227272,False,False
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,320,139,0.565625,0.204765625,0.1959765625,0.0087890625,0.36681561737682783,0.3602678280607764,0.006547789316051433,0.10071942446043165,0.14388489208633093,0.043165467625899276,0.4340277777777778,0.4131944444444444,0.02083333333333337,0.4844389681624866,-0.00579101562499998,0.024101806640625004,0.24,0.0,0.09722222222222221,0.0832,0.0,0.045138888888888895,0.0832,0.42289926578929743,0.5470859110416002,False,False
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,320,113,0.646875,0.16493164062500001,0.162939453125,0.00199218750000002,0.2989671857662234,0.28487209021930476,0.014095095546918623,0.07964601769911504,0.11504424778761062,0.035398230088495575,0.3611111111111111,0.3472222222222222,0.013888888888888895,0.47548202300029924,-0.008701171874999997,0.012949462890624987,0.7124,-0.03738317757009346,0.08547008547008546,0.5474,-0.013888888888888895,0.03472222222222221,0.5474,0.4113188827720106,0.5395520387688032,False,False
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,320,150,0.53125,0.235107421875,0.22410156250000002,0.011005859374999982,0.4480493168242791,0.4328192489286586,0.015230067895620536,0.07333333333333333,0.12,0.04666666666666666,0.4826388888888889,0.4583333333333333,0.02430555555555558,0.4860392156862745,-0.0024416503906249994,0.024218994140625005,0.1126,0.0,0.09420631665299421,0.062,0.0,0.048611111111111105,0.062,0.42342333969954477,0.5509436570905646,False,False
adult,M1_logreg,9768,1645,0.8315929565929566,0.043675002481820664,0.04339556708260638,0.0002794353992142812,0.06012706564334542,0.059623228363170286,0.0005038372801751331,0.2571428571428571,0.2729483282674772,0.015805471124620107,0.13900580138778296,0.1360482311454897,0.0029575702422932615,0.694959226811781,1.3814822053459353e-05,0.0005460084064967354,0.04,0.001283451755067354,0.02874651634500686,0.0324,0.00022750540325333635,0.00534637697645321,0.0324,0.6806264233996209,0.7081196496292461,False,False
adult,M2_random_forest,9768,1307,0.8661957411957412,0.027136204078771646,0.027086588626822044,4.9615451949602124e-05,0.03382028469576547,0.033673363934899156,0.00014692076086631617,0.32364192807957154,0.3259372609028309,0.0022953328232593884,0.10055738823797065,0.10021613013309066,0.00034125810487999064,0.7109377225375495,-0.00011310022539291475,0.0002048044421739131,0.5394,-0.01222169824802082,0.015105980527174693,0.884,-0.0018200432260266214,0.0022750540325332663,0.884,0.6967064298957361,0.7244428555518668,False,False
adult,M3_gradient_boosting,9768,1216,0.8755118755118755,0.02398416606801128,0.024033446138790118,-4.928007077883989e-05,0.02944153571247539,0.029453124155925173,-1.1588443449783714e-05,0.33223684210526316,0.32730263157894735,-0.004934210526315819,0.09236719372085087,0.09304970993061085,-0.0006825162097599813,0.7022826301019153,-0.00014600688260854364,4.607456043266807e-05,0.322,-0.013333333333333364,0.00584307178631055,0.5352,-0.0018200432260266214,0.0007962689113866495,0.5352,0.6866527685790623,0.7164250612942316,False,False
adult,M4_rbf_svm,9768,1497,0.8467444717444718,0.03906790278104775,0.03709820916516248,0.001969693615885268,0.055183144302609725,0.05023798958726662,0.004945154715343104,0.2738810955243821,0.28857715430861725,0.014696058784235133,0.12364918666818336,0.12114662723239678,0.002502559435786589,0.70727316883394,0.0014007163154890385,0.0025293108994352827,0.0,-0.0034343024399842463,0.03234221700718817,0.1224,-0.000568763508133327,0.005573882379706505,0.1224,0.6929610710195234,0.7204543411098512,True,True
agaricus_lepiota,M1_logreg,1629,40,0.9754450583179864,0.0039052004396977593,0.0013950643662801409,0.0025101360734176184,0.005887765342658575,0.0014841695211472515,0.004403595821511323,0.8,0.8,0.0,0.005457025920873124,0.005457025920873124,0.0,0.4951384518565135,0.001002763749881766,0.004313337787590709,0.0,0.0,0.04347826086956519,1.0,0.0,0.0013642564802182813,1.0,0.3861967508033728,0.6057702055719407,True,True
allhypo,M1_logreg,754,47,0.9376657824933687,0.008138733122726538,0.009741150644836731,-0.0016024175221101937,0.009448954340052041,0.011984797685488723,-0.002535843345436682,0.574468085106383,0.574468085106383,0.0,0.029498525073746312,0.029498525073746312,0.0,0.7501880887176864,-0.003018384706850818,-0.000362346882057849,0.01,-0.08000000000000007,0.0625,1.0,-0.0058997050147492625,0.004424778761061947,1.0,0.6834259240511383,0.8130275324969402,False,False
