dataset,model,score,threshold,achieved_rejection_rate_test,achieved_coverage_test,error_capture_test,residual_error_test,n_rejected
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,MCP_RISK,0.4892809647973431,0.121875,0.878125,0.13529411764705881,0.5231316725978647,39
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,ENTROPY_RISK,0.999668449438531,0.121875,0.878125,0.13529411764705881,0.5231316725978647,39
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,MARGIN_RISK,0.9785619295946862,0.121875,0.878125,0.13529411764705881,0.5231316725978647,39
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,ISO_PRED,-0.7850138289364663,0.08125,0.91875,0.11176470588235295,0.5136054421768708,26
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,STANDARD_META,0.5043120466593151,0.128125,0.871875,0.13529411764705881,0.5268817204301075,41
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M1_logreg,ISO_META,0.5099635404036308,0.115625,0.884375,0.12352941176470589,0.5265017667844523,37
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,MCP_RISK,0.4866666666666667,0.115625,0.884375,0.11510791366906475,0.43462897526501765,37
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,ENTROPY_RISK,0.99948698095089,0.115625,0.884375,0.11510791366906475,0.43462897526501765,37
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,MARGIN_RISK,0.9733333333333334,0.115625,0.884375,0.11510791366906475,0.43462897526501765,37
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,ISO_PRED,-0.7750029890318506,0.08125,0.91875,0.05755395683453238,0.445578231292517,26
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,STANDARD_META,0.4442555928489757,0.115625,0.884375,0.11510791366906475,0.43462897526501765,37
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M2_random_forest,ISO_META,0.46601694054679793,0.1,0.9,0.14388489208633093,0.4131944444444444,32
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,MCP_RISK,0.45355206125732594,0.1,0.9,0.07964601769911504,0.3611111111111111,32
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,ENTROPY_RISK,0.9937660114967869,0.1,0.9,0.07964601769911504,0.3611111111111111,32
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,MARGIN_RISK,0.9071041225146519,0.1,0.9,0.07964601769911504,0.3611111111111111,32
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,ISO_PRED,-0.7728573238567569,0.06875,0.93125,0.061946902654867256,0.35570469798657717,22
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,STANDARD_META,0.45123941208518165,0.1,0.9,0.07964601769911504,0.3611111111111111,32
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M3_gradient_boosting,ISO_META,0.47295566116120247,0.084375,0.915625,0.08849557522123894,0.3515358361774744,27
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,MCP_RISK,0.4804443078381708,0.175,0.825,0.16,0.4772727272727273,56
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,ENTROPY_RISK,0.9988962729178427,0.175,0.825,0.16,0.4772727272727273,56
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,MARGIN_RISK,0.9608886156763417,0.175,0.825,0.16,0.4772727272727273,56
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,ISO_PRED,-0.7780025847148864,0.075,0.925,0.07333333333333333,0.46959459459459457,24
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,STANDARD_META,0.4574003138823999,0.175,0.825,0.16,0.4772727272727273,56
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,M4_rbf_svm,ISO_META,0.49943997576890076,0.06875,0.93125,0.09333333333333334,0.4563758389261745,22
adult,M1_logreg,MCP_RISK,0.4047108396232294,0.09848484848484848,0.9015151515151515,0.2541033434650456,0.13933681580740404,962
adult,M1_logreg,ENTROPY_RISK,0.9736396444386658,0.09848484848484848,0.9015151515151515,0.2541033434650456,0.13933681580740404,962
adult,M1_logreg,MARGIN_RISK,0.8094216792464588,0.09848484848484848,0.9015151515151515,0.2541033434650456,0.13933681580740404,962
adult,M1_logreg,ISO_PRED,-0.6982494552425482,0.095004095004095,0.904995904995905,0.24316109422492402,0.1408371040723982,928
adult,M1_logreg,STANDARD_META,0.4364336052211874,0.09848484848484848,0.9015151515151515,0.2541033434650456,0.13933681580740404,962
adult,M1_logreg,ISO_META,0.42332321387296656,0.1035012285012285,0.8964987714987716,0.2796352583586626,0.13532031517643028,1011
adult,M2_random_forest,MCP_RISK,0.4002087459776429,0.1036036036036036,0.8963963963963963,0.3320581484315226,0.09970306075833714,1012
adult,M2_random_forest,ENTROPY_RISK,0.971072571969866,0.1036036036036036,0.8963963963963963,0.3320581484315226,0.09970306075833714,1012
adult,M2_random_forest,MARGIN_RISK,0.800417491955286,0.1036036036036036,0.8963963963963963,0.3320581484315226,0.09970306075833714,1012
adult,M2_random_forest,ISO_PRED,-0.7079173540867835,0.09295659295659296,0.907043407043407,0.2180566182096404,0.11534988713318284,908
adult,M2_random_forest,STANDARD_META,0.4033854810486539,0.1036036036036036,0.8963963963963963,0.3320581484315226,0.09970306075833714,1012
adult,M2_random_forest,ISO_META,0.4025097599177989,0.0987919737919738,0.9012080262080262,0.32134659525631215,0.10076110416903328,965
adult,M3_gradient_boosting,MCP_RISK,0.38717074512529115,0.09828009828009827,0.9017199017199017,0.3248355263157895,0.09321071752951862,960
adult,M3_gradient_boosting,ENTROPY_RISK,0.96294939677078,0.09828009828009827,0.9017199017199017,0.3248355263157895,0.09321071752951862,960
adult,M3_gradient_boosting,MARGIN_RISK,0.7743414902505823,0.09828009828009827,0.9017199017199017,0.3248355263157895,0.09321071752951862,960
adult,M3_gradient_boosting,ISO_PRED,-0.7086693032649292,0.09131859131859132,0.9086814086814087,0.20723684210526316,0.10860748084722849,892
adult,M3_gradient_boosting,STANDARD_META,0.3975700239123083,0.09828009828009827,0.9017199017199017,0.3248355263157895,0.09321071752951862,960
adult,M3_gradient_boosting,ISO_META,0.396804326909312,0.09694922194922195,0.903050778050778,0.31661184210526316,0.09420700600838908,947
adult,M4_rbf_svm,MCP_RISK,0.339667659784932,0.09725634725634726,0.9027436527436528,0.2712090848363393,0.12372420049897936,950
adult,M4_rbf_svm,ENTROPY_RISK,0.9245003215076432,0.09725634725634726,0.9027436527436528,0.2712090848363393,0.12372420049897936,950
adult,M4_rbf_svm,MARGIN_RISK,0.679335319569864,0.09725634725634726,0.9027436527436528,0.2712090848363393,0.12372420049897936,950
adult,M4_rbf_svm,ISO_PRED,-0.7033554075323288,0.09203521703521704,0.907964782964783,0.218436873747495,0.1319201713834705,899
adult,M4_rbf_svm,STANDARD_META,0.41266313630803275,0.09735872235872235,0.9026412776412777,0.26452905811623245,0.1248724055801293,951
adult,M4_rbf_svm,ISO_META,0.38718053126142427,0.09367321867321868,0.9063267813267813,0.2712090848363393,0.12323506156105275,915
agaricus_lepiota,M1_logreg,MCP_RISK,0.18020108285546138,0.09637814610190301,0.903621853898097,0.8,0.005434782608695652,157
agaricus_lepiota,M1_logreg,ENTROPY_RISK,0.6805167257382398,0.09637814610190301,0.903621853898097,0.8,0.005434782608695652,157
agaricus_lepiota,M1_logreg,MARGIN_RISK,0.36040216571092276,0.09637814610190301,0.903621853898097,0.8,0.005434782608695652,157
agaricus_lepiota,M1_logreg,ISO_PRED,-0.8476837034452671,0.09208103130755065,0.9079189686924494,0.25,0.02028397565922921,150
agaricus_lepiota,M1_logreg,STANDARD_META,0.07945551263251588,0.09637814610190301,0.903621853898097,0.8,0.005434782608695652,157
agaricus_lepiota,M1_logreg,ISO_META,0.047953241827668726,0.08778391651319828,0.9122160834868017,0.8,0.005383580080753701,143
allhypo,M1_logreg,MCP_RISK,0.2342672324992548,0.09681697612732096,0.903183023872679,0.5957446808510638,0.027900146842878122,73
allhypo,M1_logreg,ENTROPY_RISK,0.5575053285661506,0.11273209549071618,0.8872679045092838,0.574468085106383,0.029895366218236172,85
allhypo,M1_logreg,MARGIN_RISK,0.411552632765489,0.09416445623342175,0.9058355437665783,0.5531914893617021,0.03074670571010249,71
allhypo,M1_logreg,ISO_PRED,-0.7272488402212598,0.11538461538461539,0.8846153846153846,0.3404255319148936,0.046476761619190406,87
allhypo,M1_logreg,STANDARD_META,0.1830274359687349,0.09946949602122016,0.9005305039787799,0.574468085106383,0.029455081001472753,75
allhypo,M1_logreg,ISO_META,0.18026181198316732,0.09946949602122016,0.9005305039787799,0.574468085106383,0.029455081001472753,75
allhypo,M2_random_forest,MCP_RISK,0.2366666666666667,0.11007957559681697,0.889920424403183,0.9428571428571428,0.0029806259314456036,83
allhypo,M2_random_forest,ENTROPY_RISK,0.5706808231683301,0.10875331564986737,0.8912466843501327,0.8857142857142857,0.005952380952380952,82
allhypo,M2_random_forest,MARGIN_RISK,0.44666666666666666,0.10212201591511937,0.8978779840848806,0.8857142857142857,0.005908419497784343,77
allhypo,M2_random_forest,ISO_PRED,-0.7268542451415057,0.11007957559681697,0.889920424403183,0.2571428571428571,0.038748137108792845,83
allhypo,M2_random_forest,STANDARD_META,0.10404350555398767,0.10875331564986737,0.8912466843501327,0.9142857142857143,0.004464285714285714,82
allhypo,M2_random_forest,ISO_META,0.04902987296053135,0.10742705570291777,0.8925729442970822,0.8571428571428571,0.007429420505200594,81
allhypo,M4_rbf_svm,MCP_RISK,0.1659282512432742,0.09151193633952255,0.9084880636604774,0.5869565217391305,0.027737226277372264,69
allhypo,M4_rbf_svm,ENTROPY_RISK,0.49545144041640654,0.09283819628647215,0.9071618037135278,0.5869565217391305,0.027777777777777776,70
allhypo,M4_rbf_svm,MARGIN_RISK,0.2901721365351749,0.09416445623342175,0.9058355437665783,0.5869565217391305,0.027818448023426062,71
allhypo,M4_rbf_svm,ISO_PRED,-0.7302602955905249,0.10875331564986737,0.8912466843501327,0.2608695652173913,0.050595238095238096,82
allhypo,M4_rbf_svm,STANDARD_META,0.12553150524719092,0.09283819628647215,0.9071618037135278,0.5869565217391305,0.027777777777777776,70
allhypo,M4_rbf_svm,ISO_META,0.13599285869046704,0.09549071618037135,0.9045092838196287,0.5652173913043478,0.02932551319648094,72
