row,y,split
0,1,test
1,1,train
2,1,test
3,1,train
4,1,test
5,1,calib
6,1,train
7,1,calib
8,1,train
9,1,calib
10,1,train
11,1,train
12,1,test
13,1,train
14,1,train
15,1,test
16,1,test
17,1,train
18,1,calib
19,1,calib
20,1,calib
21,1,train
22,1,train
23,1,train
24,1,calib
25,1,calib
26,1,test
27,1,test
28,1,train
29,1,train
30,1,train
31,1,train
32,1,train
33,1,train
34,1,train
35,1,test
36,1,train
37,1,test
38,1,train
39,1,train
40,1,train
41,1,train
42,1,train
43,1,train
44,1,train
45,1,test
46,1,train
47,1,calib
48,1,train
49,1,train
50,1,train
51,1,train
52,1,test
53,1,train
54,1,test
55,1,train
56,1,test
57,1,train
58,1,train
59,1,train
60,1,train
61,1,train
62,1,test
63,1,train
64,1,train
65,1,calib
66,1,train
67,1,train
68,1,train
69,1,train
70,1,train
71,1,train
72,1,train
73,1,train
74,1,train
75,1,train
76,1,train
77,1,train
78,1,calib
79,1,train
80,1,train
81,1,train
82,1,test
83,1,test
84,1,train
85,1,train
86,1,test
87,1,train
88,1,calib
89,1,train
90,1,test
91,1,train
92,1,test
93,1,test
94,1,test
95,1,train
96,1,calib
97,1,test
98,1,train
99,1,calib
100,1,calib
101,1,train
102,1,train
103,1,train
104,1,train
105,1,train
106,1,test
107,1,train
108,1,calib
109,1,test
110,1,train
111,1,calib
112,1,train
113,1,train
114,1,calib
115,1,test
116,1,test
117,1,train
118,1,train
119,1,train
120,1,calib
121,1,test
122,1,train
123,1,train
124,1,train
125,1,train
126,1,train
127,1,train
128,1,calib
129,1,train
130,1,train
131,1,train
132,1,train
133,1,test
134,1,test
135,1,train
136,1,calib
137,1,train
138,1,test
139,1,calib
140,1,train
141,1,calib
142,1,train
143,1,test
144,1,test
145,1,calib
146,1,train
147,1,train
148,1,train
149,1,train
150,1,test
151,1,train
152,1,train
153,1,train
154,1,train
155,1,calib
156,1,test
157,1,test
158,1,train
159,1,train
160,1,calib
161,1,calib
162,1,train
163,1,train
164,1,train
165,1,calib
166,1,train
167,1,calib
168,1,train
169,1,calib
170,1,train
171,1,train
172,1,calib
173,1,train
174,1,test
175,1,train
176,1,test
177,1,train
178,1,test
179,1,train
180,1,train
181,1,train
182,1,train
183,1,calib
184,1,train
185,1,calib
186,1,train
187,1,calib
188,1,calib
189,1,calib
190,1,test
191,1,train
192,1,train
193,1,train
194,1,test
195,1,train
196,1,train
197,1,calib
198,1,train
199,1,test
200,1,calib
201,1,train
202,1,train
203,1,calib
204,1,calib
205,1,train
206,1,train
207,1,test
208,1,train
209,1,train
210,1,test
211,1,train
212,1,train
213,1,train
214,1,train
215,1,train
216,1,train
217,1,train
218,1,calib
219,1,train
220,1,train
221,1,train
222,1,test
223,1,train
224,1,train
225,1,train
226,1,train
227,1,train
228,1,calib
229,1,test
230,1,calib
231,1,train
232,1,train
233,1,train
234,1,train
235,1,test
236,1,train
237,1,train
238,1,train
239,1,calib
240,1,train
241,1,train
242,1,train
243,1,train
244,1,train
245,1,train
246,1,calib
247,1,train
248,1,test
249,1,calib
250,1,calib
251,1,train
252,1,calib
253,1,train
254,1,train
255,1,test
256,1,train
257,1,test
258,1,train
259,1,train
260,1,train
261,1,train
262,1,train
263,1,train
264,1,train
265,1,train
266,1,train
267,1,test
268,1,test
269,1,test
270,1,train
271,1,train
272,1,test
273,1,train
274,1,calib
275,1,train
276,1,train
277,1,calib
278,1,train
279,1,calib
280,1,train
281,1,train
282,1,test
283,1,train
284,1,train
285,1,calib
286,1,calib
287,1,test
288,1,train
289,1,calib
290,1,calib
291,1,train
292,1,calib
293,1,calib
294,1,train
295,1,calib
296,1,test
297,1,calib
298,1,train
299,1,train
300,1,train
301,1,train
302,1,train
303,1,train
304,1,train
305,1,train
306,1,test
307,1,test
308,1,train
309,1,train
310,1,train
311,1,train
312,1,test
313,1,train
314,1,train
315,1,train
316,1,train
317,1,calib
318,1,test
319,1,train
320,1,train
321,1,test
322,1,test
323,1,train
324,1,train
325,1,train
326,1,train
327,1,train
328,1,calib
329,1,test
330,1,train
331,1,train
332,1,test
333,1,train
334,1,test
335,1,test
336,1,train
337,1,calib
338,1,test
339,1,test
340,1,train
341,1,calib
342,1,train
343,1,train
344,1,calib
345,1,test
346,1,train
347,1,test
348,1,train
349,1,train
350,1,train
351,1,train
352,1,train
353,1,train
354,1,test
355,1,test
356,1,train
357,1,calib
358,1,train
359,1,train
360,1,train
361,1,train
362,1,test
363,1,train
364,1,train
365,1,train
366,1,test
367,1,train
368,1,train
369,1,train
370,1,train
371,1,train
372,1,train
373,1,train
374,1,train
375,1,test
376,1,train
377,1,calib
378,1,train
379,1,calib
380,1,train
381,1,test
382,1,train
383,1,train
384,1,test
385,1,calib
386,1,train
387,1,test
388,1,train
389,1,calib
390,1,train
391,1,train
392,1,calib
393,1,train
394,1,train
395,1,test
396,1,train
397,1,train
398,1,train
399,1,test
400,1,train
401,1,calib
402,1,test
403,1,train
404,1,test
405,1,train
406,1,train
407,1,test
408,1,train
409,1,test
410,1,train
411,1,test
412,1,test
413,1,train
414,1,train
415,1,train
416,1,train
417,1,train
418,1,train
419,1,train
420,1,train
421,1,test
422,1,train
423,1,train
424,1,train
425,1,train
426,1,train
427,1,calib
428,1,train
429,1,train
430,1,train
431,1,train
432,1,train
433,1,calib
434,1,calib
435,1,calib
436,1,train
437,1,test
438,1,train
439,1,train
440,1,train
441,1,train
442,1,train
443,1,test
444,1,train
445,1,train
446,1,calib
447,1,train
448,1,train
449,1,train
450,1,train
451,1,train
452,1,train
453,1,train
454,1,test
455,1,train
456,1,train
457,1,test
458,1,test
459,1,calib
460,1,train
461,1,train
462,1,test
463,1,test
464,1,train
465,1,calib
466,1,test
467,1,train
468,1,calib
469,1,test
470,1,train
471,1,train
472,1,test
473,1,test
474,1,calib
475,1,calib
476,1,calib
477,1,test
478,1,train
479,1,train
480,1,train
481,1,train
482,1,train
483,1,test
484,1,test
485,1,calib
486,1,train
487,1,train
488,1,calib
489,1,test
490,1,train
491,1,calib
492,1,test
493,1,calib
494,1,calib
495,1,test
496,1,train
497,1,test
498,1,train
499,1,calib
500,1,test
501,1,train
502,1,train
503,1,train
504,1,train
505,1,train
506,1,train
507,1,train
508,1,train
509,1,train
510,1,train
511,1,test
512,1,train
513,1,test
514,1,calib
515,1,train
516,1,train
517,1,calib
518,1,train
519,1,train
520,1,test
521,1,train
522,1,train
523,1,calib
524,1,test
525,1,train
526,1,calib
527,1,train
528,1,test
529,1,train
530,1,train
531,1,calib
532,1,train
533,1,train
534,1,calib
535,1,train
536,1,train
537,1,train
538,1,train
539,1,calib
540,1,calib
541,1,train
542,1,train
543,1,calib
544,1,test
545,1,calib
546,1,train
547,1,train
548,1,calib
549,1,calib
550,1,test
551,1,train
552,1,test
553,1,train
554,1,train
555,1,test
556,1,test
557,1,test
558,1,calib
559,1,train
560,1,test
561,1,test
562,1,train
563,1,calib
564,1,test
565,1,train
566,1,calib
567,1,calib
568,1,calib
569,1,train
570,1,train
571,1,calib
572,1,calib
573,1,train
574,1,calib
575,1,calib
576,1,test
577,1,test
578,1,test
579,1,train
580,1,train
581,1,train
582,1,test
583,1,calib
584,1,test
585,1,train
586,1,train
587,1,train
588,1,test
589,1,train
590,1,train
591,1,train
592,1,train
593,1,test
594,1,test
595,1,calib
596,1,train
597,1,calib
598,1,calib
599,1,train
600,1,test
601,1,train
602,1,test
603,1,train
604,1,calib
605,1,train
606,1,test
607,1,train
608,1,calib
609,1,train
610,1,test
611,1,train
612,1,calib
613,1,test
614,1,calib
615,1,train
616,1,train
617,1,test
618,1,test
619,1,train
620,1,calib
621,1,train
622,1,train
623,1,train
624,1,train
625,1,train
626,1,train
627,1,train
628,1,train
629,1,train
630,1,calib
631,1,train
632,1,calib
633,1,test
634,1,test
635,1,train
636,1,train
637,1,train
638,1,train
639,1,train
640,1,train
641,1,test
642,1,calib
643,1,calib
644,1,train
645,1,calib
646,1,train
647,1,train
648,1,train
649,1,train
650,1,calib
651,1,calib
652,1,test
653,1,test
654,1,train
655,1,calib
656,1,calib
657,1,train
658,1,test
659,1,train
660,1,train
661,1,test
662,1,train
663,1,train
664,1,calib
665,1,calib
666,1,train
667,1,train
668,1,train
669,1,train
670,1,calib
671,1,test
672,1,train
673,1,train
674,1,train
675,1,train
676,1,calib
677,1,calib
678,1,train
679,1,train
680,1,calib
681,1,train
682,1,train
683,1,test
684,1,train
685,1,train
686,1,test
687,1,calib
688,1,test
689,1,test
690,1,train
691,1,train
692,1,train
693,1,train
694,1,train
695,1,test
696,1,train
697,1,train
698,1,train
699,1,test
700,1,train
701,1,train
702,1,train
703,1,test
704,1,train
705,1,train
706,1,calib
707,1,calib
708,1,train
709,1,train
710,1,test
711,1,train
712,1,train
713,1,calib
714,1,train
715,1,train
716,1,train
717,1,calib
718,1,calib
719,1,train
720,1,train
721,1,train
722,1,train
723,1,train
724,1,train
725,1,calib
726,1,train
727,1,train
728,1,calib
729,1,train
730,1,train
731,1,train
732,1,train
733,1,train
734,1,train
735,1,train
736,1,test
737,1,train
738,1,calib
739,1,calib
740,1,train
741,1,train
742,1,test
743,1,test
744,1,train
745,1,train
746,1,train
747,1,train
748,1,calib
749,1,train
750,1,train
751,1,calib
752,1,train
753,1,calib
754,1,calib
755,1,train
756,1,train
757,1,calib
758,1,train
759,1,train
760,1,calib
761,1,train
762,1,train
763,1,train
764,1,train
765,1,train
766,1,test
767,1,calib
768,1,calib
769,1,train
770,1,calib
771,1,train
772,1,test
773,1,train
774,1,train
775,1,train
776,1,calib
777,1,calib
778,1,train
779,1,train
780,1,train
781,1,train
782,1,train
783,1,calib
784,1,train
785,1,train
786,1,test
787,1,test
788,1,test
789,1,train
790,1,train
791,1,calib
792,1,calib
793,1,calib
794,1,train
795,1,train
796,1,train
