row,y,split
0,1,train
1,1,train
2,1,train
3,1,calib
4,1,train
5,1,test
6,1,train
7,0,test
8,0,train
9,0,train
10,0,train
11,0,train
12,1,test
13,1,train
14,0,calib
15,1,train
16,1,train
17,1,train
18,1,calib
19,0,train
20,0,calib
21,1,train
22,1,calib
23,1,train
24,1,train
25,0,train
26,1,train
27,0,train
28,1,train
29,1,train
30,1,train
31,1,calib
32,1,train
33,1,train
34,1,train
35,1,train
36,1,calib
37,1,calib
38,0,train
39,1,train
40,1,test
41,1,train
42,1,test
43,1,train
44,1,train
45,0,calib
46,1,train
47,1,train
48,1,train
49,1,test
50,1,train
51,1,train
52,0,train
53,0,train
54,1,test
55,0,train
56,1,train
57,1,train
58,1,calib
59,1,train
60,1,train
61,1,calib
62,1,train
63,0,test
64,1,test
65,1,test
66,1,train
67,0,train
68,0,train
69,1,train
70,1,train
71,1,train
72,0,train
73,1,train
74,1,train
75,1,test
76,1,train
77,1,test
78,1,train
79,1,test
80,1,test
81,1,calib
82,1,train
83,1,train
84,0,test
85,1,test
86,0,train
87,1,train
88,1,test
89,0,train
90,1,test
91,1,calib
92,1,train
93,1,calib
94,0,calib
95,1,train
96,0,train
97,0,test
98,1,test
99,1,test
100,0,train
101,0,calib
102,1,test
103,1,train
104,1,train
105,0,train
106,1,train
107,1,train
108,1,calib
109,1,train
110,1,train
111,0,test
112,0,calib
113,1,calib
114,1,test
115,1,train
116,1,test
117,0,train
118,1,test
119,1,train
120,1,train
121,1,calib
122,1,test
123,0,calib
124,1,train
125,0,train
126,1,train
127,0,calib
128,1,test
129,1,calib
130,1,train
131,1,train
132,1,train
133,1,test
134,1,train
135,0,calib
136,1,train
137,1,test
138,1,train
139,0,train
140,1,train
141,1,train
142,1,train
143,0,test
144,1,train
145,1,train
146,1,train
147,1,test
148,1,test
149,1,calib
150,1,train
151,1,train
152,1,train
153,1,train
154,0,test
155,1,train
156,1,train
157,1,test
158,1,train
159,1,train
160,1,calib
161,1,calib
162,1,train
163,1,calib
164,0,train
165,1,train
166,1,train
167,1,train
168,1,train
169,1,train
170,1,train
171,1,train
172,0,train
173,1,calib
174,0,train
175,1,train
176,1,calib
177,1,test
178,1,train
179,1,train
180,0,train
181,1,test
182,1,train
183,0,train
184,0,train
185,1,calib
186,1,calib
187,1,test
188,1,train
189,0,calib
190,1,test
191,1,test
192,1,train
193,1,calib
194,1,train
195,1,calib
196,1,train
197,0,train
198,0,train
199,1,train
200,1,train
201,1,calib
202,0,train
203,1,train
204,1,train
205,1,test
206,0,train
207,1,train
208,0,calib
209,1,test
210,1,train
211,0,train
212,1,train
213,1,train
214,0,train
215,0,train
216,1,train
217,1,calib
218,1,train
219,1,calib
220,1,train
221,1,calib
222,1,calib
223,1,train
224,1,train
225,1,train
226,1,train
227,1,calib
228,1,train
229,1,train
230,1,train
231,1,train
232,1,test
233,1,train
234,0,train
235,1,train
236,1,test
237,0,train
238,0,train
239,1,train
240,0,calib
241,1,train
242,1,calib
243,1,test
244,1,train
245,1,train
246,0,train
247,1,test
248,0,train
249,1,train
250,0,test
251,1,train
252,1,train
253,1,train
254,1,test
255,0,calib
256,1,train
257,1,train
258,1,train
259,1,train
260,1,test
261,1,train
262,1,train
263,1,calib
264,1,train
265,0,calib
266,1,train
267,0,train
268,1,test
269,0,calib
270,0,calib
271,1,test
272,1,train
273,1,train
274,1,train
275,1,train
276,0,calib
277,1,calib
278,1,test
279,0,train
280,1,test
281,0,train
282,1,train
283,1,train
284,1,train
285,0,train
286,0,calib
287,1,test
