row,y,split
0,1,calib
1,0,calib
2,0,train
3,1,train
4,0,calib
5,0,test
6,0,calib
7,0,train
8,1,calib
9,0,train
10,0,train
11,0,train
12,0,train
13,1,train
14,0,test
15,0,train
16,0,test
17,1,train
18,1,train
19,1,train
20,0,test
21,1,train
22,0,train
23,0,calib
24,0,train
25,1,train
26,0,calib
27,0,train
28,0,test
29,0,train
30,0,train
31,1,train
32,0,test
33,0,train
34,0,test
35,0,train
36,0,calib
37,1,train
38,0,train
39,0,test
40,0,train
41,0,train
42,0,train
43,1,test
44,0,train
45,0,train
46,0,train
47,0,calib
48,0,calib
49,0,test
50,0,train
51,0,train
52,0,train
53,1,train
54,1,train
55,0,train
56,0,test
57,0,test
58,0,train
59,0,calib
60,0,train
61,0,test
62,0,train
63,0,train
64,0,train
65,0,train
66,0,train
67,0,train
68,0,train
69,0,train
70,0,train
71,0,train
72,0,train
73,0,test
74,0,calib
75,0,train
76,0,calib
77,0,train
78,1,train
79,0,train
80,0,train
81,1,calib
82,0,test
83,0,train
84,0,test
85,0,train
86,0,train
87,0,train
88,0,train
89,0,train
90,0,train
91,0,train
92,0,train
93,0,train
94,0,calib
95,0,test
96,0,train
97,0,train
98,0,train
99,0,train
100,0,train
101,0,train
102,0,test
103,0,calib
104,0,calib
105,0,calib
106,0,train
107,0,train
108,0,train
109,0,calib
110,0,calib
111,0,train
112,0,train
113,0,train
114,1,calib
115,0,calib
116,0,train
117,0,train
118,0,train
119,0,train
120,1,train
121,0,train
122,1,calib
123,0,train
124,0,train
125,0,calib
126,0,train
127,0,calib
128,0,test
129,0,train
130,0,calib
131,0,test
132,0,train
133,0,train
134,0,train
135,1,train
136,0,calib
137,0,train
138,1,calib
139,0,calib
140,0,train
141,0,test
142,0,train
143,0,train
144,0,calib
145,0,train
146,0,train
147,0,train
148,0,calib
149,0,calib
150,0,train
151,0,calib
152,0,calib
153,0,train
154,0,test
155,0,test
156,0,test
157,0,train
158,0,train
159,0,calib
160,0,train
161,0,train
162,0,train
163,0,train
164,0,test
165,0,train
166,0,calib
167,0,train
168,0,calib
169,0,train
170,0,test
171,0,calib
172,0,test
173,0,train
174,0,calib
175,0,train
176,0,test
177,0,train
178,0,calib
179,0,test
180,1,calib
181,0,test
182,0,calib
183,0,test
184,0,train
185,1,calib
186,0,train
187,0,test
188,0,train
189,0,train
190,0,train
191,0,train
192,0,train
193,0,test
194,0,train
195,0,train
196,0,test
197,0,test
198,0,train
199,0,calib
200,0,test
201,0,calib
202,0,train
203,0,calib
204,0,train
205,1,train
206,0,train
207,0,train
208,0,train
209,0,train
210,0,train
211,0,calib
212,0,train
213,0,train
214,0,calib
215,0,train
216,0,train
217,0,train
218,0,calib
219,0,train
220,0,train
221,1,train
222,0,calib
223,0,test
224,0,calib
225,0,train
226,0,train
227,0,train
228,1,train
229,0,test
230,0,train
231,1,train
232,0,train
233,0,train
234,0,calib
235,0,train
236,0,calib
237,0,calib
238,0,train
239,0,test
240,0,train
241,0,train
242,0,calib
243,1,train
244,0,train
245,0,test
246,0,train
247,0,train
248,0,train
249,0,train
250,0,train
251,1,train
252,0,train
253,0,train
254,0,train
255,0,test
256,0,train
257,0,train
258,0,train
259,0,train
260,0,test
261,1,test
262,0,test
263,0,train
264,0,train
265,0,test
266,0,train
267,0,train
268,0,train
269,1,test
270,0,test
271,1,calib
272,0,test
273,0,train
274,0,train
275,0,train
276,0,train
277,0,train
278,0,test
279,0,train
280,1,train
281,0,calib
282,0,test
283,0,train
284,0,train
285,0,train
286,0,train
287,0,train
288,0,train
289,0,calib
290,0,calib
291,0,calib
292,0,test
293,0,test
294,0,train
295,0,train
296,0,train
297,0,train
298,0,train
299,1,test
300,0,train
301,0,test
302,0,calib
303,0,calib
304,0,train
305,0,calib
306,0,calib
307,0,train
308,0,calib
309,0,train
310,0,test
311,1,test
312,0,calib
313,0,test
314,0,test
315,1,calib
316,0,test
317,0,test
318,0,train
319,0,train
320,0,calib
321,0,calib
322,0,train
323,0,calib
324,0,test
325,0,train
326,0,train
327,1,test
328,0,train
329,0,train
330,1,test
331,0,calib
332,0,train
333,0,train
334,0,calib
335,0,train
336,0,train
337,0,calib
338,0,calib
339,0,train
340,0,calib
341,0,train
342,0,train
343,0,train
344,0,train
345,0,test
346,0,train
347,0,train
348,0,train
349,0,train
350,0,train
351,0,test
352,0,train
353,0,test
354,0,train
355,0,calib
356,0,calib
357,1,test
358,0,train
359,0,train
360,0,test
361,0,calib
362,0,calib
363,0,test
364,0,train
365,0,train
366,0,train
367,0,calib
368,0,train
369,0,train
370,0,train
371,0,test
372,0,train
373,0,test
374,0,calib
375,0,test
376,0,calib
377,0,train
378,0,calib
379,0,train
380,1,calib
381,0,train
382,0,train
383,0,train
384,0,train
385,1,train
386,0,test
387,0,test
388,0,test
389,0,train
390,0,train
391,0,train
392,0,calib
393,0,calib
394,0,train
395,0,calib
396,0,train
397,0,test
398,0,train
399,1,test
400,0,train
401,0,train
402,1,train
403,0,train
404,0,train
405,0,calib
406,0,test
407,0,train
408,0,train
409,0,calib
410,0,train
411,0,train
412,0,train
413,0,train
414,1,train
