row,y,split
0,1,calib
1,1,train
2,1,calib
3,1,test
4,1,calib
5,1,train
6,1,train
7,1,train
8,1,train
9,1,train
10,1,test
11,1,train
12,1,test
13,1,train
14,1,train
15,0,calib
16,1,calib
17,1,train
18,1,calib
19,1,train
20,1,train
21,1,train
22,1,train
23,1,test
24,1,calib
25,1,test
26,1,train
27,1,test
28,1,train
29,1,test
30,1,train
31,1,train
32,1,train
33,1,train
34,1,train
35,1,train
36,1,calib
37,1,calib
38,1,calib
39,1,train
40,2,calib
41,1,train
42,1,train
43,1,train
44,1,test
45,1,test
46,1,train
47,1,calib
48,1,train
49,1,test
50,1,train
51,1,train
52,1,train
53,1,train
54,1,train
55,1,train
56,1,train
57,0,train
58,0,train
59,0,test
60,1,train
61,1,train
62,1,train
63,1,train
64,1,test
65,1,test
66,1,train
67,1,calib
68,1,train
69,1,train
70,1,train
71,1,test
72,1,train
73,1,test
74,1,train
75,1,train
76,1,train
77,1,train
78,1,train
79,1,train
80,1,train
81,1,train
82,1,train
83,1,calib
84,1,test
85,0,test
86,1,train
87,1,train
88,2,test
89,1,train
90,1,train
91,1,train
92,1,train
93,1,train
94,1,calib
95,1,calib
96,1,calib
97,1,train
98,1,train
99,1,train
100,1,calib
101,0,test
102,1,calib
103,1,train
104,1,train
105,1,train
106,1,calib
107,1,train
108,1,train
109,1,train
110,1,train
111,1,train
112,1,train
113,1,train
114,1,calib
115,0,test
116,2,train
117,1,train
118,1,calib
119,1,test
120,1,train
121,0,train
122,1,calib
123,1,test
124,1,train
125,1,train
126,1,train
127,1,test
128,1,train
129,1,calib
130,1,train
131,1,test
132,1,train
133,1,train
134,1,calib
135,1,calib
136,1,train
137,1,train
138,1,calib
139,1,calib
140,1,train
141,1,calib
142,1,calib
143,1,train
144,1,test
145,1,test
146,1,test
147,1,train
148,1,train
149,1,calib
150,1,train
151,1,train
152,1,calib
153,1,train
154,1,test
155,1,train
156,1,calib
157,1,train
158,1,calib
159,1,train
160,1,test
161,1,calib
162,1,test
163,1,train
164,1,calib
165,1,train
166,1,train
167,1,train
168,1,test
169,1,test
170,1,test
171,1,calib
172,1,train
173,1,train
174,1,train
175,1,test
176,1,train
177,1,train
178,1,train
179,1,train
180,1,train
181,1,test
182,1,train
183,1,train
184,1,test
185,1,test
186,1,train
187,1,calib
188,0,calib
189,1,train
190,1,calib
191,1,train
192,1,calib
193,1,train
194,1,train
195,1,train
196,1,train
197,1,train
198,1,train
199,1,calib
200,1,train
201,1,train
202,1,calib
203,1,train
204,1,train
205,1,train
206,1,test
207,1,train
208,1,train
209,1,calib
210,1,test
211,1,calib
212,1,train
213,1,train
214,1,train
215,1,test
216,1,train
217,1,train
218,1,train
219,1,calib
220,0,train
221,1,train
222,1,test
223,1,calib
224,0,train
225,1,train
226,1,test
227,1,train
228,1,train
229,1,calib
230,1,train
231,1,test
232,1,train
233,1,train
234,1,train
235,1,train
236,1,train
