budget,method,recall,false_forgetting_rate,precision,f1,true_positives,false_positives,false_negatives,delay_mean_h,delay_median_h,localisation_mean_m,localisation_median_m,battledim_score_eur,worst_per_leak_recall,compute_time_s
4,FO,0.9130434782608695,0.08695652173913049,0.525,0.6666666666666667,21,19,2,412.3055555555556,163.25,1386.1506619047623,1537.1008999999997,40138.36,0.0,0.028
4,D_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.5,0.6461538461538461,21,21,2,185.36904761904765,111.66666666666667,1269.3818595238095,1138.1924000000004,112267.3,0.0,0.03
4,A_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.5,0.6461538461538461,21,21,2,185.36904761904765,111.66666666666667,1269.3818595238095,1138.1924000000004,112267.3,0.0,0.028
4,E_optimal_observable_subspace,0.9130434782608695,0.08695652173913049,0.5,0.6461538461538461,21,21,2,172.56349206349208,115.91666666666667,1581.2746380952387,1456.8829000000005,110607.91,0.0,0.029
4,bayesian_information_gain,0.9130434782608695,0.08695652173913049,0.5,0.6461538461538461,21,21,2,185.36904761904765,111.66666666666667,1269.3818595238095,1138.1924000000004,112267.3,0.0,0.028
4,D_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,201.99603174603175,167.33333333333334,1402.7423809523812,1434.20435,19962.9,0.0,0.03
4,A_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4883720930232558,0.6363636363636364,21,22,2,199.26190476190476,105.0,1493.0785500000002,1504.3775500000002,70738.46,0.0,0.029
4,E_optimal_rank_reduced,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,178.4325396825397,111.33333333333333,1743.7759690476191,1521.7321499999998,133504.25,0.0,0.03
4,goal_oriented_oed,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,203.87301587301585,99.08333333333333,1539.4115880952381,1524.9742,132775.51,0.0,0.03
4,topological_dispersion,0.9130434782608695,0.08695652173913049,0.4883720930232558,0.6363636363636364,21,22,2,192.13888888888886,140.33333333333334,1232.891128571429,1223.73915,90713.01,0.0,0.029
4,centrality,0.9130434782608695,0.08695652173913049,0.5675675675675675,0.6999999999999998,21,16,2,470.54365079365084,226.16666666666666,1462.2067285714288,1256.5447999999997,64408.89,0.0,0.025
6,FO,0.9130434782608695,0.08695652173913049,0.5121951219512195,0.6562499999999999,21,20,2,302.10714285714283,143.08333333333334,1185.2647333333334,1379.8827000000003,45336.32,0.0,0.03
6,D_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,168.3968253968254,101.41666666666667,1731.295140476191,1483.6390999999999,148553.54,0.0,0.03
6,A_optimal_bayesian,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,168.3968253968254,101.41666666666667,1731.295140476191,1483.6390999999999,148553.54,0.0,0.03
6,E_optimal_observable_subspace,0.9130434782608695,0.08695652173913049,0.4772727272727273,0.6268656716417911,21,23,2,168.3968253968254,101.41666666666667,1731.295140476191,1483.6390999999999,148553.54,0.0,0.03
